SYSTEM,CODE,DISPLAY
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,01,DISCHARGED TO HOME OR SELF CARE (ROUTINE DISCHARGE)
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,02,DISCHARGED/TRANSFERRED TO A SHORT TERM GENERAL HOSPITAL FOR INPATIENT CARE
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,03,DISCHARGED/TRANSFERRED TO SKILLED NURSING FACILITY (SNF) WITH MEDICARE CERTIFICATION
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,04,DISCHARGED/TRANSFERRED TO A FACILITY THAT PROVIDES CUSTODIAL OR SUPPORTIVE CARE
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,05,DISCHARGED/TRANSFERRED TO A DESIGNATED CANCER CENTER OR CHILDREN’S HOSPITAL
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,06,DISCHARGED/TRANSFERRED TO HOME UNDER CARE OF ORGANIZED HOME HEALTH SERVICE ORGANIZATION
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,07,LEFT AGAINST MEDICAL ADVICE OR DISCONTINUED CARE
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,08,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,09,ADMITTED AS AN INPATIENT TO THIS HOSPITAL
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,10,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,11,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,12,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,13,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,14,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,15,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,16,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,17,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,18,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,19,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,20,EXPIRED
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,21,DISCHARGED/TRANSFERRED TO COURT/LAW ENFORCEMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,22,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,23,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,24,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,25,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,26,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,27,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,28,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,29,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,30,STILL PATIENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,31,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,32,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,33,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,34,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,35,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,36,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,37,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,38,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,39,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,40,EXPIRED AT HOME
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,41,"EXPIRED IN A MEDICAL FACILITY (E.G., HOSPITAL, SNF, ICF, OR FREE STANDING HOSPICE)"
https://bluebutton.cms.gov/fhir/CodeSystem/BENE-PTNT-STUS-CD,42,EXPIRED - PLACE UNKNOWN
