SYSTEM,CODE,DISPLAY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,1,HOSPITAL
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,2,SKILLED NURSING FACILITY (SNF)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,3,HOME HEALTH AGENCY (HHA)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,4,RELIGIOUS NONMEDICAL (HOSPITAL) (EFF. 8/1/00); PRIOR TO 8/00 REFERENCED CHRISTIAN SCIENCE (CS)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,5,RELIGIOUS NONMEDICAL (EXTENDED CARE) (EFF. 8/1/00); PRIOR TO 8/00 REFERENCED CS (DISCONTINUED EFFECTIVE 10/1/05)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,6,INTERMEDIATE CARE
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,7,CLINIC OR HOSPITAL-BASED RENAL DIALYSIS FACILITY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,8,SPECIAL FACILITY OR ASC SURGERY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,9,RESERVED
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-FAC-TYPE-CD,~,NO DESCRIPTION AVAILABLE
