SYSTEM,CODE,DISPLAY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,!,MSP COST AVOIDED - COB CONTRACTOR (00 2-BYTE CODE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,#,MSP COST AVOIDED - OFFICE OF PERSONNEL MANAGEMENT (13 2-BYTE CODE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,$,MSP COST AVOIDED - WORKMAN'S COMPENSATION (WC) DATA MATCH (14 2-BYTE CODE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,%,MSP COST AVOIDED - RECOVERY AUDIT CONTRACTOR - CALIFORNIA (25 2-BYTE CODE) (EFF. 10/2005)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,&,MSP COST AVOIDED - RECOVERY AUDIT CONTRACTOR - FLORIDA (26 2-BYTE CODE) (EFF. 10/2005)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,(,MSP COST AVOIDED - LIABILITY INSURER VDSA (16 2-BYTE CODE) (EFF. 4/2006)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,),MSP COST AVOIDED - NO-FAULT INSURER VDSA (17 2-BYTE CODE) (EFF. 4/2006)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,*,MSP COST AVOIDED - WORKMAN'S COMPENSATION INSURER VOLUNTARY DATA SHARING AGREEMENTS (WC VDSA) ('15' 2-BYTE CODE) (EFF. 4/2006)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,+,MSP COST AVOIDED - PHARMACY BENEFIT MANAGER DATA SHARING AGREEMENT (18 2 -BYTE CODE) (EFF. 4/2006)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,00,MEDICARE SECONDARY PAYER (MSP) COST AVOIDED - COORDINATOR OF BENEFITS (COB) CONTRACTOR 11100
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NPMT-RSN-CD,12,MSP COST AVOIDED - BLUE CROSS - BLUE SHIELD VOLUNTARY AGREEMENTS COB CONTRACTOR 11112
