SYSTEM,CODE,DISPLAY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1,MEDICARE PART D ORIGINAL CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,2,MEDICARE PART D ADJUSTED CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,3,MEDICARE PART D DELETED CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,4,MEDICARE PART D RESUBMITTED CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,10,MEDICARE HHA CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,20,MEDICARE NON-SWING BED SNF CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,30,MEDICARE SWING BED SNF CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,40,MEDICARE OUTPATIENT CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,50,MEDICARE HOSPICE CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,60,MEDICARE INPATIENT CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,61,MEDICARE INPATIENT FULL ENCOUNTER CLAIM
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,62,MEDICARE ADVANTAGE IME/GME CLAIMS
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,63,MEDICARE ADVANTAGE (NO-PAY) CLAIMS
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,64,MEDICARE ADVANTAGE (PAID AS FFS) CLAIMS
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,71,MEDICARE PART B PROFESSIONAL PHYSICIAN/SUPPLIER CLAIM (NON-DMEPOS)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,72,MEDICARE PART B PROFESSIONAL PHYSICIAN/SUPPLIER CLAIM (DMEPOS)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,81,MEDICARE PART B DME REGIONAL CARRIER (DMERC) CLAIM (NON-DMEPOS)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,82,MEDICARE PART B DME REGIONAL CARRIER (DMERC) CLAIM (DMEPOS)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1000,000X MEDICARE SS OTHER TYPE OF BILL GROUPS - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1011,011X MEDICARE SS HOSPITAL INPATIENT (PART A) - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1012,012X MEDICARE SS HOSPITAL INPATIENT (PART B) - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1013,013X MEDICARE SS HOSPITAL OUTPATIENT - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1014,014X MEDICARE SS HOSPITAL OTHER (PART B) - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1018,018X MEDICARE SS HOSPITAL SWING BED - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1019,019X MEDICARE SS - HOSPITAL RESERVED FOR NATIONAL ASSIGNMENT - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1021,021X MEDICARE SS SNF INPATIENT (PART A)- PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1022,022X MEDICARE SS SNF INPATIENT (PART B) - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1023,023X MEDICARE SS SNF OUTPATIENT - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1028,028X MEDICARE SS SNF SWING BED - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1029,029X MEDICARE SS - SKILLED NURSING RESERVED FOR NATIONAL ASSIGNMENT- PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1032,032X MEDICARE SS HOME HEALTH INPATIENT (PART B) - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1033,033X MEDICARE SS HOME HEALTH OUTPATIENT - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1034,034X MEDICARE SS HOME HEALTH (PART B ONLY) - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1039,039X MEDICARE SS HHA - RESERVED FOR NATIONAL ASSIGNMENT - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1041,041X MEDICARE SS RELIGIOUS NONMEDICAL HEALTH CARE INSTITUTIONS - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1042,042X MEDICARE SS RNHCI HOSPITAL-INPATIENT OR HOME HEALTH VISITS (PART B ONLY) - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1043,043X MEDICARE SS RNHCI HOSPITAL-OUTPATIENT (HHA-A ALSO) - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1049,049X MEDICARE SS RNHCI HOSPITAL-RESERVED FOR NATIONAL ASSIGNMENT - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1065,065X MEDICARE SS INTERMEDIATE CARE - LEVEL I PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1066,066X MEDICARE SS INTERMEDIATE CARE LEVEL II PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1069,069X MEDICARE SS RESERVED FOR NATIONAL ASSIGNMENT - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1071,071X MEDICARE SS CLINIC RHC RURAL HEALTH - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1072,072X MEDICARE SS CLINIC ESRD RENAL DIALYSIS - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1073,073X MEDICARE SS CLINIC FREESTANDING - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1074,074X MEDICARE SS CLINIC ORF OTHER REHAB - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1075,075X MEDICARE SS CLINIC CORF COMPREHENSIVE OUTPATIENT REHAB - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1076,076X MEDICARE SS CLINIC CMHC COMMUNITY MENTAL HEALTH CENTERS - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1077,077X MEDICARE SS CLINIC FQHC FEDERAL QUALIFIED HEALTH CENTER - PHASE 1
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,1078,078X MEDICARE SS LICENSED FREESTANDING EMERGENCY MEDICAL FACILITY (EFFECTIVE 7/1/12) - PHASE 1
