name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
BENE_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,A UNIQUE NUMBER ASSIGNED BY THE ENROLLMENT DATA BASE (EDB) TO EACH EDB RECORD TO IDENTIFY A BENEFICIARY.,,
IDR_TRANS_EFCTV_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,,,
BENE_MDCD_ELGBLTY_BGN_DT,DATE,COLUMN,N,,N,N,,,A DATE THAT INDICATES THE BEGINNING OF A BENEFICIARYÒ² MEDICAID ELIGIBILITY PERIOD. IT IS THE EFFECTIVE START DATE OF THE MEDICAID PERIOD CALCULATED ACCORDING TO MEDICARE ADVANTAGE PRESCRIPTION DRUG (MARX) REQUIREMENTS. THE DATE WILL ALWAYS BE THE FIRST OF A MONTH.,,
BENE_AUDT_SRC_ID,VARCHAR(8),COLUMN,Y,,N,N,,,A USER IDENTIFICATION (ID) OR SOURCE THAT CAUSED THE AUDIT OF THE BENEFICIARY.,,
BENE_DUAL_STUS_CD,VARCHAR(2),COLUMN,Y,,N,N,,,A CODE IDENTIFYING THE ENTITLEMENT STATUS FOR A DUAL ELIGIBLE BENEFICIARY.,,
BENE_DUAL_STUS_SRC_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A CODE IDENTIFYING FROM WHICH TABLE OR FILE THE DUAL ELIGIBLE BENEFICIARY RECORD WAS SOURCED.,,
BENE_DUAL_TYPE_CD,VARCHAR(1),COLUMN,Y,,N,N,,,"A CODE IDENTIFYING A BENEFICIARYÒ² DUAL MEDICAID DESIGNATION, WHETHER A BENEFICIARY IS Ð¦ULLÒ¬ Ð€ARTIALÒ OR Ð®ONEÒ DUAL MEDICARE.",,
BENE_MDCD_ELGBLTY_END_DT,DATE,COLUMN,Y,,N,N,,,A DATE THAT INDICATES THE END OF A BENEFICIARYÒ² MEDICAID ELIGIBILITY PERIOD. IT IS THE EFFECTIVE END DATE OF THE MEDICAID PERIOD CALCULATED ACCORDING TO MEDICARE ADVANTAGE PRESCRIPTION DRUG (MARX) REQUIREMENTS. THE DATE WILL ALWAYS BE THE END OF A MONTH OR 12/31/9999.,,
BENE_MDCD_ELGBLTY_SRC_CD,VARCHAR(4),COLUMN,Y,,N,N,,,"A CODE IDENTIFYING THE SOURCE OF A MEDICARE BENEFICIARYS MEDICAID ELIGIBILITY INFORMATION, WHEN THE DATA WAS OBTAINED FROM CME_MDCD_ELGY.",,
BENE_REC_SRC_ID,VARCHAR(8),COLUMN,N,,N,N,,,A USER IDENTIFICATION (ID) OR SOURCE THAT CREATED THE BENEFICIARY SOURCE RECORD.,,
GEO_USPS_STATE_CD,VARCHAR(2),COLUMN,Y,,N,N,,,"A CODE IDENTIFYING THE TWO-CHARACTER ALPHABETIC ABBREVIATION FOR A STATE IN THE UNITED STATES AS DEFINED BY THE UNITED STATES POSTAL SERVICE (USPS) ASSOCIATED WITH A BENEFICIARY, PROVIDER, OR CLAIM ADDRESS AND USED IN THE GEOCODING PROCESS.    REFERENCE TABLE: GEO_USPS_STATE_CD",,
IDR_LTST_TRANS_FLG,VARCHAR(1),COLUMN,N,,N,N,,,"AN INDICATOR ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) THAT IDENTIFIES WHICH TRANSACTION RECORD, BASED ON PRIMARY KEY, IS CONSIDERED TO REPRESENT THE MOST RECENT RECORD RECEIVED FROM THE SOURCE.    Y = LATEST VERSION OF THE RECORD  N = PREVIOUS VERSION OF THE RECORD",,
IDR_TRANS_OBSLT_TS,TIMESTAMP_NTZ(0),COLUMN,Y,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHEN A RECORD WAS LAST KNOWN TO BE PRESENT IN THE SOURCE. THE CURRENT VERSION OF A RECORD WILL BE SET TO 12/31/9999 00:00:00.,,
META_SRC_PRCSG_ID,"NUMBER(38,0)",COLUMN,N,,N,N,,,A VALUE ASSIGNED BASED ON A BATCH IDENTIFICATION IN ORDER TO TRACE IT BACK TO ITS ORIGINAL SOURCE. IT WILL ONLY BE POPULATED WHEN A RECORD IS INSERTED.,,
META_LTST_SRC_PRCSG_ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,A VALUE ASSIGNED BASED ON A BATCH IDENTIFICATION IN ORDER TO TRACE IT BACK TO ITS ORIGINAL SOURCE. IT WILL ONLY BE POPULATED WHEN A RECORD IS SUBSEQUENTLY UPDATED.,,
META_SRC_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.    REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC,,
IDR_INSRT_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHILE PERFORMING AN INSERT OPERATION.,,
IDR_UPDT_TS,TIMESTAMP_NTZ(0),COLUMN,Y,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHEN UPDATES ARE MADE TO ANY NON-PRIMARY KEY COLUMN.,,
