name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
BENE_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,A UNIQUE NUMBER ASSIGNED BY THE ENROLLMENT DATA BASE (EDB) TO EACH EDB RECORD TO IDENTIFY A BENEFICIARY.,,
IDR_TRANS_EFCTV_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) IDENTIFYING WHEN A RECORD IS LOADED.,,
IDR_TRANS_OBSLT_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHEN A RECORD WAS LAST KNOWN TO BE PRESENT IN THE SOURCE. THE CURRENT VERSION OF A RECORD WILL BE SET TO 12/31/9999 00:00:00.,,
BENE_XREF_EFCTV_SK,"NUMBER(18,0)",COLUMN,Y,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) DERIVED EFFECTIVE SURROGATE KEY THAT UNIQUELY IDENTIFIES A BENEFICIARY.  NOTE: BENE_XREF_EFCTV_SK REPRESENTS THE MOST CURRENT BENE_SK THAT IS IN EFFECT FOR THE BENEFICIARY. BENE_XREF_EFCTV_SK IS MORE CURRENT THAN BENE_SK AND BENE_XREF_SK ON THE BENE TABLE.,,
BENE_BIC_CD,VARCHAR(2),COLUMN,Y,,N,N,,,A CODE IDENTIFYING A BENEFICIARYS RELATIONSHIP TO A PRIMARY SOCIAL SECURITY ADMINISTRATION (SSA) OR RAILROAD RETIREMENT BOARD (RRB) WAGE EARNER AND USED TO JUSTIFY ENTITLEMENT TO MEDICARE BENEFITS. THE BENEFICIARY IDENTIFICATION CODE (BIC) IS USED IN CONJUNCTION WITH THE BENEFICIARYS CLAIM ACCOUNT NUMBER (CAN) TO UNIQUELY IDENTIFY A MEDICARE BENEFICIARY AND FORM A HEALTH INSURANCE CLAIM NUMBER (HICN).    REFERENCE TABLE: BENE_BIC_CD,,
BENE_BRTH_DT,DATE,COLUMN,N,,N,N,,,A DATE IDENTIFYING WHEN A BENEFICIARY IS BORN.,,
BENE_CAN_NUM,VARCHAR(9),COLUMN,Y,,N,N,,,"A NUMBER IDENTIFYING THE PRIMARY BENEFICIARY UNDER THE SOCIAL SECURITY ADMINISTRATION (SSA) OR RAILROAD RETIREMENT BOARD (RRB) PROGRAM. THIS CLAIM ACCOUNT NUMBER(CAN), ALONG WITH THE BENEFICIARY IDENTIFICATION CODE, UNIQUELY IDENTIFIES A MEDICARE BENEFICIARY.",,
BENE_DEATH_DT,DATE,COLUMN,Y,,N,N,,,A DATE IDENTIFYING WHEN A BENEFICIARY DIED.,,
BENE_DOD_PROOF_CD,VARCHAR(2),COLUMN,Y,,N,N,,,A CODE IDENTIFYING THE SOURCE THAT PROVIDED THE DATE OF DEATH INFORMATION.,,
BENE_ELGBL_REC_TYPE_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A CODE IDENTIFYING IF THE ELIGIBILITY INFORMATION REFERS TO THE CURRENT QUARTER OR A PREVIOUS QUARTER FOR RETROACTIVE ELIGIBILITY OR CORRECTION TO PREVIOUS INFORMATION.    REFERENCE TABLE: BENE_ELGBL_REC_TYPE_CD,,
