name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
BENE_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,A UNIQUE NUMBER ASSIGNED BY THE ENROLLMENT DATA BASE (EDB) TO EACH EDB RECORD TO IDENTIFY A BENEFICIARY.,,
BENE_LIS_EFCTV_CD,VARCHAR(1),COLUMN,N,,N,N,,,SWITCH INDICATING THAT THIS RECORD IS THE CURRENT EFFECTIVE LOW INCOME SUBSIDY (LIS) DETERMINATION RECORD.,,
SRC_ID_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"IDENTIFIER OF SOURCE SYSTEM / USERS RELATED TO AUDITS, STARTING AND ENDING PERIODS.",,
BENE_LIS_COPMT_LVL_CD,VARCHAR(1),COLUMN,N,,N,N,,,A CODE IDENTIFYING THE GENERIC LEVEL USED TO COMPUTE THE LOW INCOME SUBSIDY (LIS) CO-PAYMENT AMOUNT. THIS GENERIC LEVEL TRANSLATES TO A SPECIFIC NUMERIC VALUE THAT WILL BE USED IN THE COMPUTATION.    REFERENCE TABLE: BENE_LIS_COPMT_LVL_CD,,
BENE_LIS_APL_RSLT_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A CODE INDICATING THE RESULT OF AN APPEAL FILED BY A BENEFICIARY FOR LOW INCOME SUBSIDY (LIS).    REFERENCE TABLE: BENE_LIS_APL_RSLT_CD,,
BENE_LIS_APRVL_CD,VARCHAR(1),COLUMN,Y,,N,N,,,IDENTIFIES WHETHER THE APPLICATION FOR SUBSIDY WAS APPROVED OR NOT APPROVED.,,
BENE_LIS_CHG_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A CODE INDICATING IF A CHANGE WAS MADE TO A PREVIOUS LOW INCOME SUBSIDY (LIS) DETERMINATION.    REFERENCE TABLE: BENE_LIS_CHG_CD,,
BENE_LIS_CNCL_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A CODE INDICATING IF A PREVIOUS SUBMISSION FOR LOW INCOME SUBSIDY (LIS) DETERMINATION SHOULD BE CANCELLED.    REFERENCE TABLE: BENE_LIS_CNCL_CD,,
BENE_LIS_INCM_DTRMNTN_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A CODE IDENTIFYING IF THE INCOME DETERMINATION FOR A LOW INCOME SUBSIDY (LIS) BENEFICIARY WAS BASED ON AN INDIVIDUAL OR A COUPLE.    REFERENCE TABLE: BENE_LIS_INCM_DTRMNTN_CD,,
BENE_LIS_RSRC_LVL_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A CODE IDENTIFYING THE AMOUNT OF A BENEFICIARYS FINANCIAL ASSETS THAT ARE USED IN THE DETERMINATION OF SUBSIDY ELIGIBILITY AND COPAYMENT AMOUNTS.    REFERENCE TABLE: BENE_LIS_RSRC_LVL_CD,,
BENE_LIS_PTD_PRM_PCT,VARCHAR(3),COLUMN,Y,,N,N,,,"IDENTIFIES THE PORTION OF THE PART D PREMIUM SUBSIDIZED, BASED ON A SLIDING SCALE LINKED TO THE FEDERAL POVERTY LEVEL (FPL) PERCENTAGE. IF THE PERSON IS UNDER 135% FPL THE PREMIUM SUBSIDY PERCENT WILL BE 100%.  IF THE PERSON IS 136-140% FPL THE PREMIUM SUBSIDY PERCENT WILL BE 75%.    IF THE PERSON IS 141-145% FPL THE PREMIUM SUBSIDY WILL BE 50%.  IF THE PERSON IS 146-149% FPL THE PREMIUM SUBSIDY WILL BE 25%.",,
BENE_LIS_FPL_PCT,VARCHAR(3),COLUMN,Y,,N,N,,,"FOR THOSE INDIVIDUALS WHO APPLY FOR THE LOW INCOME SUBSIDY, IDENTIFIES THE SPECIFIC PERCENT OF FEDERAL POVERTY LEVEL (FPL).",,
BENE_LIS_APLCTN_DT,DATE,COLUMN,N,,N,N,,,SOCIAL SECURITY ADMINISTRATION (SSA) DATE OF THE LOW INCOME SUBSIDY APPLICATION.,,
BENE_LIS_PTD_APRVL_DT,DATE,COLUMN,N,,N,N,,,DATE THAT THE PART D LOW INCOME SUBSIDY WAS APPROVED.,,
SRC_AUDT_ID_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,SOURCE OF THE AUDITED INFORMATION.,,
META_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_LAST_UPDT_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
