name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
BENE_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,,,
BENE_ENRLMT_BGN_DT,DATE,COLUMN,N,,N,N,,,"THE DATE THAT THE BENEFICIARY ENROLLED IN THE SERVICE ELECTION.[SOURCE: PLAN TRANSACTION, AUTOMATIC ENROLLMENT]",,
CNTRCT_PBP_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY USED TO IDENTIFY A VERSION OF A CONTRACT.,,
BENE_ENRLMT_APLCTN_DT,DATE,COLUMN,N,,N,N,,,BENEFICIARY ENROLLMENT APPLICATION DATE. DATE THE SERVICE DELIVERY ORGANIZATION RECEIVED THE ELECTION FORM FROM THE BENEFICIARY.,,
BENE_CVRG_TYPE_CD,VARCHAR(2),COLUMN,N,,N,N,,,A CODE IDENTIFYING THE TYPE OF COVERAGE IN WHICH THE BENEFICIARY IS ENROLLED.    REFERENCE TABLE: BENE_CVRG_TYPE_CD,,
BENE_ENRLMT_END_DT,DATE,COLUMN,Y,,N,N,,,THE DATE THAT THE BENEFICIARY DISENROLLED IN THE SERVICE ELECTIONS .,,
BENE_DISENRLMT_RSN_CD,VARCHAR(2),COLUMN,N,,N,N,,,THIS CODE IDENTIFIES THE REASON THAT A BENEFICIARY DISENROLLED IN A SERVICE ELECTION .,,
BENE_ENRLMT_SRC_CD,VARCHAR(1),COLUMN,N,,N,N,,,THIS CODE IDENTIFIES THE SOURCE OF THE BENEFICIARYS ENROLLMENT.,,
BENE_ENRLMT_EMPLR_SBSDY_SW,VARCHAR(1),COLUMN,N,,N,N,,,A SWITCH INDICATING THAT ENROLLMENT IN PART D WAS REQUESTED BY THE BENEFICIARY WHO HAS EMPLOYER SUBSIDY ENROLLMENT.,,
BENE_ELCTN_CCP_ENRLMT_MOS_NUM,"NUMBER(38,0)",COLUMN,N,,N,N,,,"REPRESENTS THE NUMBER OF MONTHS A BENEFICIARY WAS ENROLLED IN A GIVEN MANAGED CARE ORGANIZATION (MCO) ON A COMMERCIAL BASIS, PRIOR TO THE MCOS MEDICARE CONTRACT.",,
SRC_AUDT_ID_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,IDENTIFIES THE SOURCE OF THE INFORMATION THAT CAUSED AN AUDIT ACTION TO OCCUR.,,
SRC_BGN_ID_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,THE USER ID OR SOURCE OF THE PERIOD START DATE.,,
SRC_END_ID_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,THE USER ID OR SOURCE OF THE PERIOD TERMINATION DATE.,,
BENE_ENRLMT_GRP_HLTH_PLAN_SW,VARCHAR(1),COLUMN,N,,N,N,,,A SWITCH THAT INDICATES IF THE PLAN IS AN EMPLOYER GROUP HEALTH PLAN.,,
BENE_ENRLMT_OSA_SW,VARCHAR(1),COLUMN,N,,N,N,,,THIS SWITCH INDICATES WHETHER THE MEDICARE BENEFICIARY HAS BEEN APPROVED FOR OUT OF SERVICE AREA ENROLLMENT,,
BENE_UI_APLCTN_RCPT_DT_DFLT_SW,VARCHAR(1),COLUMN,N,,N,N,,,"INDICATES IF, WHEN AN ENROLLMENT/PLAN CHANGE TRANSACTION IS SUBMITTED VIA THE UI BY CMS AUTHORIZED USERS, IF THE APPLICATION DATE WAS DEFAULTED TO EFFECTIVE DATE MINUS 2 DAYS. THIS IS INDICATED BY A VALUE OF Y. A SPACE WOULD APPLY FOR ALL OTHER SITUATIONS.",,
BENE_ENRLMT_CNTRCT_EFCTV_DT,DATE,COLUMN,N,,N,N,,,THE DATE THAT THE BENEFICIARY ENROLLED FOR THE FIRST TIME IN THE CONTRACT,,
META_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_LAST_UPDT_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_SRC_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.    REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC,,
BENE_SRC_ID,VARCHAR(5),COLUMN,N,,N,N,,,AN IDENTIFIER INDICATING WHERE THE SOURCE OF THE BENEFICIARY DATA IN THE INTEGRATED DATA REPOSITORY (IDR) ORIGINATED FROM.,,
