name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
BENE_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,A UNIQUE NUMBER ASSIGNED BY THE ENROLLMENT DATA BASE (EDB) TO EACH EDB RECORD TO IDENTIFY A BENEFICIARY.,,
BENE_ENRLMT_BGN_DT,DATE,COLUMN,N,,N,N,,,"THE DATE THAT THE BENEFICIARY ENROLLED IN THE SERVICE ELECTION.[SOURCE: PLAN TRANSACTION, AUTOMATIC ENROLLMENT]",,
BENE_CNTRCT_NUM,VARCHAR(5),COLUMN,N,,N,N,,,UNIQUE IDENTIFIER ENABLING AN ENTITY TO PROVIDE COVERAGE TO ELIGIBLE MEDICARE BENEFICIARIES,,
BENE_PBP_NUM,VARCHAR(3),COLUMN,N,,N,N,,,A UNIQUE IDENTIFIER FOR THE PLAN BENEFIT PACKAGE OFFERED UNDER THE CONTRACT. FOR PART D THIS NUMBER IS A UNIQUE IDENTIFICATION FOR AN AGREEMENT BETWEEN CMS AND A PART D PROVIDER ENABLING THE PART D PROVIDER TO PROVIDE DRUG COVERAGE TO ELIGIBLE BENEFICIARIES. MARX DEFINITION: A 3-POSITION NUMERIC IDENTIFIER ASSIGNED TO A PLAN BENEFIT PACKAGE (PBP) OFFERED WITHIN A MANAGED CARE OR PRESCRIPTION DRUG CONTRACT. VALUES BEGINNING WITH 8 ARE RESERVED FOR EMPLOYER GROUP PLANS. A VALUE OF 999 IS RESERVED FOR COST CONTRACTORS WHO DO NOT CHOOSE TO OFFER A PRESCRIPTION DRUG BENEFIT,,
BENE_ENRLMT_PDP_RX_INFO_BGN_DT,DATE,COLUMN,N,,N,N,,,INDICATES THE EFFECTIVE DATE OF THE BENEFICIARY PRESCRIPTION INFORMATION.,,
IDR_TRANS_EFCTV_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) IDENTIFYING WHEN A RECORD IS LOADED.,,
IDR_TRANS_OBSLT_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHEN A RECORD WAS LAST KNOWN TO BE PRESENT IN THE SOURCE. THE CURRENT VERSION OF A RECORD WILL BE SET TO 12/31/9999 00:00:00.,,
IDR_LTST_TRANS_FLG,VARCHAR(1),COLUMN,N,,N,N,,,"AN INDICATOR ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) THAT IDENTIFIES WHICH TRANSACTION RECORD, BASED ON PRIMARY KEY, IS CONSIDERED TO REPRESENT THE MOST RECENT RECORD RECEIVED FROM THE SOURCE.    Y = LATEST VERSION OF THE RECORD  N = PREVIOUS VERSION OF THE RECORD",,
CNTRCT_PBP_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY USED TO IDENTIFY A VERSION OF A CONTRACT.,,
BENE_PDP_ENRLMT_RX_INFO_END_DT,DATE,COLUMN,Y,,N,N,,,INDICATES THE TERMINATION DATE OF THE BENEFICIARY PRESCRIPTION INFORMATION.,,
BENE_PDP_ENRLMT_MMBR_ID_NUM,VARCHAR(20),COLUMN,N,,N,N,,,MEMBER ID ASSIGNED TO THE BENEFICIARY.,,
BENE_PDP_ENRLMT_GRP_NUM,VARCHAR(15),COLUMN,N,,N,N,,,IDENTIFYING NUMBER ASSIGNED TO THE CARDHOLDER GROUP OR EMPLOYER GROUP.,,
BENE_PDP_ENRLMT_PRCSR_NUM,VARCHAR(10),COLUMN,N,,N,N,,,NUMBER ASSIGNED BY THE PROCESSOR.,,
BENE_PDP_ENRLMT_BANK_ID_NUM,VARCHAR(6),COLUMN,N,,N,N,,,A CARD ISSUER IDENTIFIER OR A BANK IDENTIFYING NUMBER USED FOR NETWORK ROUTING.,,
BENE_STRT_DT_SRC_ID,VARCHAR(5),COLUMN,Y,,N,N,,,AN IDENTIFIER OF THE USER OR SOURCE OF THE PERIOD START/EFFECTIVE DATE.,,
BENE_END_DT_SRC_ID,VARCHAR(5),COLUMN,Y,,N,N,,,AN IDENTIFIER OF THE USER OR SOURCE OF THE PERIOD END/TERMINATION DATE.,,
BENE_AUDT_DT_SRC_ID,VARCHAR(5),COLUMN,Y,,N,N,,,AN IDENTIFIER OF THE USER OR SOURCE OF THE AUDIT DATE.,,
META_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_LAST_UPDT_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_SRC_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.    REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC,,
META_SRC_PRCSG_ID,"NUMBER(38,0)",COLUMN,N,,N,N,,,A VALUE ASSIGNED BASED ON A BATCH IDENTIFICATION IN ORDER TO TRACE IT BACK TO ITS ORIGINAL SOURCE. IT WILL ONLY BE POPULATED WHEN A RECORD IS INSERTED.,,
