name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
BENE_MBI_ID,VARCHAR(11),COLUMN,N,,N,N,,,"AN IDENTIFIER THAT UNIQUELY IDENTIFIES A BENEFICIARY AND REPLACES THE HEALTH INSURANCE CLAIM NUMBER (HICN) ON MEDICARE CARDS. THE FORMAT OF THE MEDICARE BENEFICIARY IDENTIFIER (MBI) IS 11-POSITIONS IN LENGTH AND CONTAINS THE FOLLOWING VALUES:  POSITION 1 Ö NUMERIC VALUES: 1 - 9  POSITION 2 Ö ALPHABETIC VALUES: A - Z (MINUS S, L, O, I, B, Z)  POSITION 3 Ö ALPHANUMERIC VALUES: 0 - 9 AND A - Z (MINUS S, L, O, I, B, Z)  POSITION 4 Ö NUMERIC VALUES: 0 - 9  POSITION 5 Ö ALPHABETIC VALUES: A - Z (MINUS S, L, O, I, B, Z)  POSITION 6 Ö ALPHANUMERIC VALUES: 0 - 9 AND A - Z (MINUS S, L, O, I, B, Z)  POSITION 7 Ö NUMERIC VALUES: 0 - 9  POSITION 8 Ö ALPHABETIC VALUES: A - Z (MINUS S, L, O, I, B, Z)  POSITION 9 Ö ALPHABETIC VALUES: A - Z (MINUS S, L, O, I, B, Z)  POSITION 10 Ö NUMERIC VALUES: 0 - 9  POSITION 11 Ö NUMERIC VALUES: 0 - 9",,
BENE_MBI_EFCTV_DT,DATE,COLUMN,N,,N,N,,,THE EFFECTIVE DATE WHEN AN MBI IS ASSIGNED TO A BENEFICIARY.,,
BENE_MBI_EFCTV_RSN_CD,VARCHAR(5),COLUMN,N,,N,N,,,THE EFFECTIVE REASON CODE WHICH IDENTIFIES WHY AN MBI WAS ASSIGNED TO AN INDIVIDUAL.,,
BENE_MBI_OBSLT_DT,DATE,COLUMN,Y,,N,N,,,THE END DATE WHEN AN MBI PERIOD IS CLOSED DUE TO BEING COMPROMISED OR INVOLVED IN A MERGE CROSS REFERENCE ACTION. (REPLACED BY A NEW MBI).,,
BENE_MBI_OBSLT_RSN_CD,VARCHAR(5),COLUMN,Y,,N,N,,,THE END REASON CODE WHICH IDENTIFIES WHY AN MBI WAS INACTIVATED.,,
BENE_MBI_HI_CARD_RQST_DT,DATE,COLUMN,Y,,N,N,,,THE DATE THE EDB CREATED AND SENT THE HEALTH INSURANCE (HI) CARD REQUEST WITH THE MBI TO THE PRINT MAIL CONTRACTOR.,,
IDR_TRANS_EFCTV_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) IDENTIFYING WHEN A RECORD IS LOADED.,,
IDR_TRANS_OBSLT_TS,TIMESTAMP_NTZ(0),COLUMN,Y,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHEN A RECORD WAS LAST KNOWN TO BE PRESENT IN THE SOURCE. THE CURRENT VERSION OF A RECORD WILL BE SET TO 12/31/9999 00:00:00.,,
IDR_LTST_TRANS_FLG,VARCHAR(1),COLUMN,N,,N,N,,,"AN INDICATOR ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) THAT IDENTIFIES WHICH TRANSACTION RECORD, BASED ON PRIMARY KEY, IS CONSIDERED TO REPRESENT THE MOST RECENT RECORD RECEIVED FROM THE SOURCE.    Y = LATEST VERSION OF THE RECORD  N = PREVIOUS VERSION OF THE RECORD",,
META_SRC_PRCSG_ID,"NUMBER(38,0)",COLUMN,N,,N,N,,,A VALUE ASSIGNED BASED ON A BATCH IDENTIFICATION IN ORDER TO TRACE IT BACK TO ITS ORIGINAL SOURCE. IT WILL ONLY BE POPULATED WHEN A RECORD IS INSERTED.,,
META_LTST_SRC_PRCSG_ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,A VALUE ASSIGNED BASED ON A BATCH IDENTIFICATION IN ORDER TO TRACE IT BACK TO ITS ORIGINAL SOURCE. IT WILL ONLY BE POPULATED WHEN A RECORD IS SUBSEQUENTLY UPDATED.,,
META_SRC_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.    REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC,,
IDR_INSRT_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHILE PERFORMING AN INSERT OPERATION.,,
IDR_UPDT_TS,TIMESTAMP_NTZ(0),COLUMN,Y,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHEN UPDATES ARE MADE TO ANY NON-PRIMARY KEY COLUMN.,,
