name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
BENE_MDCR_STUS_CD,VARCHAR(2),COLUMN,N,,N,N,,,A CODE IDENTIFYING THE REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE BENEFITS.,,
BENE_MDCR_STUS_CD_DESC,VARCHAR(100),COLUMN,Y,,N,N,,,A DESCRIPTION OF A CODE IDENTIFYING THE REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE BENEFITS.,,
META_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_SRC_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.    REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC,,
BENE_AGED_STUS_ID,VARCHAR(1),COLUMN,Y,,N,N,,,AN IDENTIFIER INDICATING WHETHER AGE IS A REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE.,,
BENE_AGED_STUS_DESC,VARCHAR(3),COLUMN,Y,,N,N,,,A DESCRIPTION OF AN IDENTIFIER INDICATING WHETHER AGE IS A REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE.,,
BENE_MDCR_STUS_GRP_CD,VARCHAR(2),COLUMN,Y,,N,N,,,"NOT DEFINED, BECAUSE THE DATA FOR THIS COLUMN IS NOT PROVIDED BY THE SOURCE AND CONTAINS THE SAME VALUES AS THE BENE_MDCR_STUS_CD COLUMN.",,
BENE_ESRD_STUS_ID,VARCHAR(1),COLUMN,Y,,N,N,,,AN IDENTIFIER INDICATING WHETHER END STAGE RENAL DISEASE (ESRD) IS A REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE.,,
BENE_ESRD_STUS_DESC,VARCHAR(3),COLUMN,Y,,N,N,,,A DESCRIPTION OF AN IDENTIFIER INDICATING WHETHER END STAGE RENAL DISEASE (ESRD) IS A REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE.,,
BENE_DSBLD_STUS_ID,VARCHAR(1),COLUMN,Y,,N,N,,,AN IDENTIFIER INDICATING WHETHER DISABILITY IS A REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE.,,
BENE_DSBLD_STUS_DESC,VARCHAR(3),COLUMN,Y,,N,N,,,A DESCRIPTION OF AN IDENTIFIER INDICATING WHETHER DISABILITY IS A REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE.,,
