name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
BENE_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,A UNIQUE NUMBER ASSIGNED BY THE ENROLLMENT DATA BASE (EDB) TO EACH EDB RECORD TO IDENTIFY A BENEFICIARY.,,
BENE_TP_TYPE_CD,VARCHAR(1),COLUMN,N,,N,N,,,THIS CODE IDENTIFIES WHETHER THE THIRD PARTY BUY-IN IS FOR PART A OR PART B.,,
BENE_RNG_BGN_DT,DATE,COLUMN,N,,N,N,,,THE PRIMARY BEGIN DATE FOR A BENEFICIARY DATE RANGE.,,
IDR_TRANS_EFCTV_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) IDENTIFYING WHEN A RECORD IS LOADED.,,
IDR_TRANS_OBSLT_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHEN A RECORD WAS LAST KNOWN TO BE PRESENT IN THE SOURCE. THE CURRENT VERSION OF A RECORD WILL BE SET TO 12/31/9999 00:00:00.,,
IDR_LTST_TRANS_FLG,VARCHAR(1),COLUMN,N,,N,N,,,"AN INDICATOR ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) THAT IDENTIFIES WHICH TRANSACTION RECORD, BASED ON PRIMARY KEY, IS CONSIDERED TO REPRESENT THE MOST RECENT RECORD RECEIVED FROM THE SOURCE.    Y = LATEST VERSION OF THE RECORD  N = PREVIOUS VERSION OF THE RECORD",,
BENE_RNG_END_DT,DATE,COLUMN,N,,N,N,,,THE PRIMARY END DATE FOR A BENEFICIARY DATE RANGE.,,
BENE_TP_ACRTN_CD,VARCHAR(2),COLUMN,Y,,N,N,,,A CODE THAT INDICATES THE REASON FOR THE START PART A/PART B PREMIUM BILLING ACTION.,,
BENE_TP_ADJSTMT_CD,VARCHAR(1),COLUMN,Y,,N,N,,,BLANK OR Y SWITCH SET TO REQUIRE CURRENT MONTH BILLING.,,
BENE_TP_DLT_CD,VARCHAR(2),COLUMN,Y,,N,N,,,A CODE THAT INDICATES THE REASON FOR THE DELETION OF A BENEFICIARY FROM A THIRD PARTY PART A/PART B AGENCY.,,
BENE_TP_IDENT_CD,VARCHAR(4),COLUMN,Y,,N,N,,,"AN ALPHA-NUMERIC CODE THAT IS USED TO ASSOCIATE AN ACTIVE THIRD PARTY PART A/PART B PERIOD WITH INACTIVE, PRIOR VERSIONS OF THE SAME PERIOD.",,
BENE_TP_IRMAA_AMT,"NUMBER(7,2)",COLUMN,Y,,N,N,,,THE INCOME RELATED MONTHLY ADJUSTED AMOUNT (IRMAA) AMOUNT WHICH IS BEING BILLED OR HAS BEEN BILLED AS PART OF THE PART B PREMIUM FOR A PERIOD OF THIRD PARTY PART B COVERAGE.,,
BENE_TP_PNLTY_RATE_AMT,"NUMBER(3,2)",COLUMN,Y,,N,N,,,THE PENALTY RATE FOR THE PART A/PART B THIRD PARTY PERIOD.,,
BENE_TP_PRCSG_BGN_DT,DATE,COLUMN,Y,,N,N,,,THE MONTH THAT THE THIRD PARTY SYSTEM PROCESSED A THIRD PARTY AGENCYS PART A/PART B START BILLING ACTION.  ALSO KNOWN AS THE BILLING CYCLE DATE OR BILLING PERIOD FOR THIRD PARTY PREMIUMS.,,
BENE_TP_PRCSG_END_DT,DATE,COLUMN,Y,,N,N,,,THE MONTH THAT THE THIRD PARTY SYSTEM PROCESSED A THIRD PARTY AGENCYS PART A/PART B STOP BILLING ACTION.,,
BENE_TP_PRM_PYR_CD,VARCHAR(3),COLUMN,Y,,N,N,,,"A CODE THAT INDICATES WHETHER A MEDICARE BENEFICIARYS PREMIUMS ARE BEING PAID BY A THIRD PARTY. WHEN STATE BILLING IS INVOLVED, THE CODE INDICATES THAT THE BENEFICIARY IS DUALLY ELIGIBLE FOR MEDICARE AND MEDICAID.  THIS CODE IDENTIFIES MOST, BUT NOT ALL, PART B DUAL ELIGIBLE BENEFICIARIES. IF A STATE DOES NOT PAY PREMIUMS FOR CERTAIN ELIGIBILITY GROUPS (MEDICAL ASSISTANCE ONLY GROUPS, FOR EXAMPLE), THIS CODE WOULD NOT REFLECT A DUAL ELIGIBLE STATUS.  HOWEVER, THIS CODE IS MORE CURRENT AND MORE COMPLETE THAN MSIS DATA, SINCE NOT ALL STATES REPORT MSIS DATA.",,
BENE_TP_RDCD_PRM_AMT,"NUMBER(7,2)",COLUMN,Y,,N,N,,,THE BENEFITS IMPROVEMENT AND PROTECTION ACT OF 2000 (BIPA) 606 PART B PREMIUM REDUCTION AMOUNT.,,
BENE_BUYIN_CD,VARCHAR(2),COLUMN,Y,,N,N,,,A CODE THAT INDICATES THE REASON FOR PART A/PART B STATE BUY-IN ELIGIBILITY.,,
BENE_VAR_PRM_CD,VARCHAR(1),COLUMN,Y,,N,N,,,VARIABLE PREMIUM INDICATOR.  INDICATES WHETHER THE PERIOD OF THIRD PARTY COVERAGE INVOLVES A VARIABLE PREMIUM RATE.,,
BENE_RDCD_PTA_PRM_SW,VARCHAR(1),COLUMN,Y,,N,N,,,A SWITCH THAT INDICATES IF A REDUCED PART A PREMIUM AMOUNT IS IN EFFECT.,,
META_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_LAST_UPDT_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_SRC_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.    REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC,,
META_SRC_PRCSG_ID,"NUMBER(38,0)",COLUMN,N,,N,N,,,A VALUE ASSIGNED BASED ON A BATCH IDENTIFICATION IN ORDER TO TRACE IT BACK TO ITS ORIGINAL SOURCE. IT WILL ONLY BE POPULATED WHEN A RECORD IS INSERTED.,,
META_LTST_SRC_PRCSG_ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,A VALUE ASSIGNED BASED ON A BATCH IDENTIFICATION IN ORDER TO TRACE IT BACK TO ITS ORIGINAL SOURCE. IT WILL ONLY BE POPULATED WHEN A RECORD IS SUBSEQUENTLY UPDATED.,,
IDR_INSRT_TS,TIMESTAMP_NTZ(0),COLUMN,N,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHILE PERFORMING AN INSERT OPERATION.,,
IDR_UPDT_TS,TIMESTAMP_NTZ(0),COLUMN,Y,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHEN UPDATES ARE MADE TO ANY NON-PRIMARY KEY COLUMN.,,
