name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
GEO_BENE_EFCTV_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE EFFECTIVE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS AND GROUPING CLAIM FAMILIES.",,
CLM_DT_SGNTR_EFCTV_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE EFFECTIVE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART EFFECTIVE KEYS USED FOR JOINING CLAIMS AND GROUPING CLAIM FAMILIES.,,
CLM_TYPE_EFCTV_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_EFCTV_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE EFFECTIVE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_EFCTV_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART EFFECTIVE KEYS USED FOR JOINING CLAIMS AND GROUPING CLAIM FAMILIES.",,
CLM_EFCTV_DT,DATE,COLUMN,Y,,N,N,,,A DATE CORRESPONDING TO THE NATIONAL CLAIM HISTORY (NCH) WEEKLY PROCESSING DATE AND USED IN FINAL ACTION PROCESSING TO IDENTIFY A VERSION OF A CLAIM. IT WILL ALWAYS BE A FRIDAY DATE.,,
CLM_OBSLT_DT,DATE,COLUMN,Y,,N,N,,,"A DATE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) INDICATING IF A CLAIM IS FINAL ACTION OR THE LATEST VERSION. WHEN A CLAIM IS FINAL ACTION/LATEST VERSION, DATE 12/31/9999 WILL BE PRESENT. OTHERWISE, THE DATE WILL BE SET TO THE NATIONAL CLAIM HISTORY (NCH) WEEKLY CLAIM PROCESSING DATE OF THE PRIOR VERSION OF THE CLAIM. IT WILL ALWAYS BE A FRIDAY DATE.",,
