name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
CLM_ANSI_SGNTR_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY USED TO UNIQUELY IDENTIFY A COMBINATION OF ANSI REV CENTER CODES.,,
CLM_1_REV_CNTR_ANSI_GRP_CD,VARCHAR(2),COLUMN,N,,N,N,,,AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) GROUP CODE IDENTIFYING WHO HAS FINANCIAL RESPONSIBILITY FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE  THAT RESULTED IN IT BEING PAID DIFFERENTLY THAN IT WAS BILLED. THIS GROUP CODE WORKS IN CONJUNCTION WITH A CLAIM ADJUSTMENT REASON CODE (CARC).  FOR EXAMPLE:  PR = PATIENT RESPONSIBILITY (PATIENT IS FINANCIALLY LIABLE)  CO = CONTRACTUAL OBLIGATIONS (PROVIDER IS FINANCIALLY LIABLE),,
CLM_1_REV_CNTR_ANSI_RSN_CD,VARCHAR(3),COLUMN,N,,N,N,,,"AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) CLAIM ADJUSTMENT REASON CODE (CARC) IDENTIFYING THE REASON FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE THAT RESULTED IN A DIFFERENCE BETWEEN THE ORIGINAL BILLED AMOUNT AND THE FINAL PAID AMOUNT. AN ADJUSTMENT CAN RESULT IN A DENIAL, REDUCTION, OR INCREASE  IN PAYMENT.  FOR EXAMPLE:  1 = DEDUCTIBLE AMOUNT  B1 = NON-COVERED VISITS",,
CLM_2_REV_CNTR_ANSI_RSN_CD,VARCHAR(3),COLUMN,N,,N,N,,,"AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) CLAIM ADJUSTMENT REASON CODE (CARC) IDENTIFYING THE REASON FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE THAT RESULTED IN A DIFFERENCE BETWEEN THE ORIGINAL BILLED AMOUNT AND THE FINAL PAID AMOUNT. AN ADJUSTMENT CAN RESULT IN A DENIAL, REDUCTION, OR INCREASE  IN PAYMENT.  FOR EXAMPLE:  1 = DEDUCTIBLE AMOUNT  B1 = NON-COVERED VISITS",,
CLM_2_REV_CNTR_ANSI_GRP_CD,VARCHAR(2),COLUMN,N,,N,N,,,AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) GROUP CODE IDENTIFYING WHO HAS FINANCIAL RESPONSIBILITY FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE  THAT RESULTED IN IT BEING PAID DIFFERENTLY THAN IT WAS BILLED. THIS GROUP CODE WORKS IN CONJUNCTION WITH A CLAIM ADJUSTMENT REASON CODE (CARC).  FOR EXAMPLE:  PR = PATIENT RESPONSIBILITY (PATIENT IS FINANCIALLY LIABLE)  CO = CONTRACTUAL OBLIGATIONS (PROVIDER IS FINANCIALLY LIABLE),,
CLM_3_REV_CNTR_ANSI_GRP_CD,VARCHAR(2),COLUMN,N,,N,N,,,AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) GROUP CODE IDENTIFYING WHO HAS FINANCIAL RESPONSIBILITY FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE  THAT RESULTED IN IT BEING PAID DIFFERENTLY THAN IT WAS BILLED. THIS GROUP CODE WORKS IN CONJUNCTION WITH A CLAIM ADJUSTMENT REASON CODE (CARC).  FOR EXAMPLE:  PR = PATIENT RESPONSIBILITY (PATIENT IS FINANCIALLY LIABLE)  CO = CONTRACTUAL OBLIGATIONS (PROVIDER IS FINANCIALLY LIABLE),,
CLM_3_REV_CNTR_ANSI_RSN_CD,VARCHAR(3),COLUMN,N,,N,N,,,"AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) CLAIM ADJUSTMENT REASON CODE (CARC) IDENTIFYING THE REASON FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE THAT RESULTED IN A DIFFERENCE BETWEEN THE ORIGINAL BILLED AMOUNT AND THE FINAL PAID AMOUNT. AN ADJUSTMENT CAN RESULT IN A DENIAL, REDUCTION, OR INCREASE  IN PAYMENT.  FOR EXAMPLE:  1 = DEDUCTIBLE AMOUNT  B1 = NON-COVERED VISITS",,
CLM_4_REV_CNTR_ANSI_GRP_CD,VARCHAR(2),COLUMN,N,,N,N,,,AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) GROUP CODE IDENTIFYING WHO HAS FINANCIAL RESPONSIBILITY FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE  THAT RESULTED IN IT BEING PAID DIFFERENTLY THAN IT WAS BILLED. THIS GROUP CODE WORKS IN CONJUNCTION WITH A CLAIM ADJUSTMENT REASON CODE (CARC).  FOR EXAMPLE:  PR = PATIENT RESPONSIBILITY (PATIENT IS FINANCIALLY LIABLE)  CO = CONTRACTUAL OBLIGATIONS (PROVIDER IS FINANCIALLY LIABLE),,
CLM_4_REV_CNTR_ANSI_RSN_CD,VARCHAR(3),COLUMN,N,,N,N,,,"AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) CLAIM ADJUSTMENT REASON CODE (CARC) IDENTIFYING THE REASON FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE THAT RESULTED IN A DIFFERENCE BETWEEN THE ORIGINAL BILLED AMOUNT AND THE FINAL PAID AMOUNT. AN ADJUSTMENT CAN RESULT IN A DENIAL, REDUCTION, OR INCREASE  IN PAYMENT.  FOR EXAMPLE:  1 = DEDUCTIBLE AMOUNT  B1 = NON-COVERED VISITS",,
META_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_SRC_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.    REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC,,
META_SRC_PRCSG_ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,A VALUE ASSIGNED BASED ON A BATCH IDENTIFICATION IN ORDER TO TRACE IT BACK TO ITS ORIGINAL SOURCE. IT WILL ONLY BE POPULATED WHEN A RECORD IS INSERTED.,,
META_LTST_SRC_PRCSG_ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,A VALUE ASSIGNED BASED ON A BATCH IDENTIFICATION IN ORDER TO TRACE IT BACK TO ITS ORIGINAL SOURCE. IT WILL ONLY BE POPULATED WHEN A RECORD IS SUBSEQUENTLY UPDATED.,,
IDR_INSRT_TS,TIMESTAMP_NTZ(0),COLUMN,Y,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHILE PERFORMING AN INSERT OPERATION.,,
IDR_UPDT_TS,TIMESTAMP_NTZ(0),COLUMN,Y,,N,N,,,THE SYSTEM DATE AND TIME ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) WHEN UPDATES ARE MADE TO ANY NON-PRIMARY KEY COLUMN.,,
