name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
BENE_RACE_CD,VARCHAR(2),COLUMN,N,,N,N,,,A CODE IDENTIFYING A BENEFICIARYS RACE.  REFERENCE TABLE: BENE_RACE_CD,,
BENE_LCL_SEX_CD,VARCHAR(10),COLUMN,N,,N,N,,,"""A CODE IDENTIFYING THE SEX OF THE MEDICARE BENEFICIARY AS DEFINED BY THE SOURCE OF THE CLAIM DATA.

REFERENCE TABLE: BENE_LCL_SEX_CD",,
CLM_BENE_CWF_LOC_CD,VARCHAR(1),COLUMN,N,,N,N,,,THE CODE THAT IDENTIFIES THE COMMON WORKING FILE (CWF) LOCATION (THE HOST SITE) WHERE A BENEFICIARYS MEDICARE UTILIZATION RECORDS ARE MAINTAINED. [NCH],,
CLM_BLOOD_DDCTBL_PT_QTY,"NUMBER(4,0)",COLUMN,Y,,N,N,,,A QUANTITY OF BLOOD PINTS APPLIED TO THE BLOOD DEDUCTIBLE AS REPORTED ON A PART B CLAIM.,,
CLM_CWF_BENE_MDCR_STUS_CD,VARCHAR(2),COLUMN,Y,,N,N,,,"REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE BENEFITS AS OF A PARTICULAR DATE, BROKEN DOWN BY THE FOLLOWING CATEGORIES: OASI, DISABLED, AND ESRD, AND BY APPROPRIATE COMBINATIONS OF THESE CATEGORIES.    APPENDED TO THE CLAIM VIA A CWF PROCESS.",,
CLM_CWF_NUM,VARCHAR(8),COLUMN,Y,,N,N,,,"EFFECTIVE WITH NCH VERSION H, THE NUMBER ASSIGNED TO AN INSTITUTIONAL CLAIM RECORD BY CWF (USED FOR INTERNAL EDITING PURPOSES).  NOTE:  BEGINNING WITH NCH WEEKLY PROCESS DATE 10/3/97 THIS FIELD WAS POPULATED WITH DATA.  CLAIMS PROCESSED PRIOR TO 10/3/97 WILL CONTAIN SPACES IN THIS FIELD.[NCH]",,
CLM_CWF_PLUS_4_ZIP_CD,VARCHAR(4),COLUMN,Y,,N,N,,,A FOUR-DIGIT ZIP CODE EXTENSION ASSOCIATED WITH A BENEFICIARYS MAILING ADDRESS.,,
