name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLNDR_MO_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,A NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) FORMULATED WITH A NUMBER (01 THROUGH 12) AND YEAR USED TO IDENTIFY A MONTH WITHIN A CALENDAR YEAR IN FORMAT CYYMM.  FOR EXAMPLE:   11811 = NOVEMBER 2018  09806 = JUNE 1998,,
CLM_ACTV_CARE_FROM_DT,DATE,COLUMN,Y,,N,N,,,"ON AN INSTITUTIONAL CLAIM, THE DATE THE BENEFICIARY WAS ADMITTED TO THE HOSPITAL, SKILLED NURSING FACILITY, OR CHRISTIAN SCIENCE SANITORIUM.",,
CLM_ACTV_CARE_THRU_DT,DATE,COLUMN,Y,,N,N,,,THE DATE ON A CLAIM FOR WHICH THE COVERED LEVEL OF CARE ENDED IN A GENERAL HOSPITAL OR THE ACTIVE CARE ENDED IN A PSYCHIATRIC/TB HOSPITAL.,,
CLM_QLFY_STAY_FROM_DT,DATE,COLUMN,Y,,N,N,,,"THE BEGINNING DATE OF THE BENEFICIARYS QUALIFYING STAY  USED FOR INTERNAL CWFMQA EDITING PURPOSES). FOR INPATIENT CLAIMS, THE DATE RELATES TO THE PPS PORTION OF THE INLIER FOR WHICH THERE IS NO UTILIZATION TO BENEFITS. FOR SNF CLAIMS, THE DATE RELATES TO A QUALIFYING STAY FROM A HOSPITAL THAT IS AT LEAST TWO DAYS IN A ROW IF THE SOURCE OF ADMISSION IS AN A, OR AT LEAST THREE DAYS IN A ROW IF THE SOURCE OF ADMISSION IS OTHER THAN A. [HRMZ]    NOTE:  DURING THE NCH VERSION H CONVERSION THIS FIELD WAS POPULATED WITH DATA THROUGHOUT HISTORY (BACK TO SERVICE YEAR 1991).",,
CLM_CMS_PROC_DT,DATE,COLUMN,Y,,N,N,,,"DATE A CLAIM OR PRESCRIPTION DRUG EVENT WAS PROCESSED BY A CMS FRONT END SYSTEM, SUCH AS THE DDPS OPERATIONAL DATA STORE.",,
CLM_CWF_ACRTN_DT,DATE,COLUMN,Y,,N,N,,,THE DATE THE CLAIM RECORD IS ACCRETED (POSTED/PROCESSED) TO THE BENEFICIARY MASTER RECORD AT THE CWF HOST SITE AND AUTHORIZATION FOR PAYMENT IS RETURNED TO THE FISCAL INTERMEDIARY OR CARRIER. (NCH),,
CLM_DSCHRG_DT,DATE,COLUMN,Y,,N,N,,,"EFFECTIVE WITH NCH VERSION H, ON AN INPATIENT AND HHA CLAIM, THE DATE THE BENEFICIARY WAS DISCHARGED FROM THE FACILITY OR DIED (USED FOR INTERNAL CWFMQA EDITING PURPOSES.)  NOTE:  DURING THE NCH VERSION H CONVERSION THIS FIELD WAS POPULATED WITH DATA THROUGHOUT HISTORY (BACK TO SERVICE YEAR 1991.) [NCH]",,
CLM_QLFY_STAY_THRU_DT,DATE,COLUMN,Y,,N,N,,,"THE ENDING DATE OF THE BENEFICIARYS QUALIFYING STAY  USED FOR INTERNAL CWFMQA EDITING PURPOSES.) FOR INPATIENT CLAIMS, THE DATE RELATES TO THE PPS PORTION OF THE INLIER FOR WHICH THERE IS NO UTILIZATION TO BENEFITS. FOR SNF CLAIMS, THE DATE RELATES TO A QUALIFYING STAY FROM A HOSPITAL THAT IS AT LEAST TWO DAYS IN A ROW IF THE SOURCE OF ADMISSION IS AN A, OR AT LEAST THREE DAYS IN A ROW IF THE SOURCE OF ADMISSION IS OTHER THAN A. [HRMZ]    NOTE:  DURING THE NCH VERSION H, CONVERSION THIS FIELD WAS POPULATED WITH DATA THROUGHOUT HISTORY (BACK TO SERVICE YEAR 1991). [NCH]",,
CLM_FROM_DT,DATE,COLUMN,Y,,N,N,,,A DATE IDENTIFYING THE FIRST DAY SERVICES ARE PROVIDED TO A BENEFICIARY.,,
