name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARY'S ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,"A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.
FOR EXAMPLE:
60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM 
8900 = MEDICAID FEE FOR SERVICE DENTAL 

REFERENCE TABLE: CLM_TYPE_CD
",,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
META_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_SRC_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,"A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.

REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC",,
CLM_ADJSTMT_TYPE_CD,VARCHAR(2),COLUMN,Y,,N,N,,,"A CODE IDENTIFYING THE TYPE OF ADJUSTMENT RECORD REPRESENTED ON A CLAIM OR ENCOUNTER.

REFERENCE TABLE: CLM_ADJSTMT_TYPE_CD",,
CLM_CARC_225_IND,VARCHAR(3),COLUMN,Y,,N,N,,,AN INDICATOR DEPICTING WHETHER THE CLAIM ADJUSTMENT REASON CODE 225 IS PRESENT ON THE CLAIM.  ADJUSTMENT REASON CODE 225 IS THE PENALTY OR INTEREST PAYMENT BY THE PAYER.,,
CLM_END_OF_POA_CD,VARCHAR(10),COLUMN,Y,,N,N,,,,,
CLM_1ST_ANSI_APL_CD,VARCHAR(5),COLUMN,Y,,N,N,,,"AN AMERICAN NATIONAL STANDARD INSTITUTE (ANSI) REMITTANCE ADVICE REMARK CODE (RARC) PROVIDING ADDITIONAL EXPLANATIONS FOR AN ADJUSTMENT ALREADY DESCRIBED BY A CLAIM ADJUSTMENT REASON CODE (CARC) OR TO CONVEY INFORMATION ABOUT REMITTANCE PROCESSING THAT IS NOT RELATED TO A SPECIFIC ADJUSTMENT OR CARC.
FOR EXAMPLE:
M2 = NOT PAID SEPARATELY WHEN THE PATIENT IS AN INPATIENT.
N395 = MISSING LABORATORY REPORT.

THERE CAN BE UP TO FIVE RARCS THAT APPLY TO APPEAL RIGHTS PER CLAIM. THIS IS 1 OF 5 OCCURRENCES.

REFERENCE TABLE: CLM_RMTNC_ADVC_RMRK_CD",,
CLM_1ST_BENE_SSN_HIC_NUM,VARCHAR(19),COLUMN,Y,,N,N,,,SOCIAL SECURITY NUMBER / HIC OF THE BENEFICIARY,,
CLM_1ST_HMO_CNTRCTR_ID,VARCHAR(5),COLUMN,Y,,N,N,,,THIS FIELD IS NOT USED BY FISS.,,
