name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
BENE_PTNT_STUS_CD,VARCHAR(2),COLUMN,N,,N,N,,,THE CODE USED TO IDENTIFY THE STATUS OF THE PATIENT AS OF THE CLAIM THROUGH DATE [NCH],,
CLM_ADMSN_HR,"NUMBER(2,0)",COLUMN,Y,,N,N,,,THE HOUR THE BENEFICIARY WAS ADMITTED TO THE HOSPITAL.,,
CLM_ADMSN_TYPE_CD,VARCHAR(2),COLUMN,N,,N,N,,,THE CODE INDICATING THE TYPE AND PRIORITY OF AN INPATIENT ADMISSION ASSOCIATED WITH THE SERVICE ON AN INTERMEDIARY SUBMITTED CLAIM. [NCH],,
CLM_ADMSN_SRC_CD,VARCHAR(2),COLUMN,N,,N,N,,,"THE CODE INDICATING THE MEANS BY WHICH THE BENEFICIARY WAS ADMITTED TO THE INPATIENT HEALTH CARE FACILITY OR SNF IF THE TYPE OF ADMISSION IS (1) EMERGENCY, (2) URGENT, OR (3) ELECTIVE. [NCH]",,
CLM_BPCI_MODEL_4_READMSN_CD,VARCHAR(1),COLUMN,N,,N,N,,,"MODEL 4 BUNDLED PAYMENTS FOR CARE IMPROVEMENT (BPCI) READMISSION INDICATORS THAT IDENTIFY THE METHOD OF PAYMENT OF A CLAIM BILLED WITHIN 30 DAYS OF A MODEL 4 BUNDLED PAYMENTS FOR CARE IMPROVEMENT (BPCI) ADMISSION. BUNDLING PAYMENT FOR SERVICES THAT PATIENTS RECEIVE ACROSS A SINGLE EPISODE OF CARE, SUCH AS HEART BYPASS SURGERY OR A HIP REPLACEMENT, IS ONE WAY TO ENCOURAGE DOCTORS, HOSPITALS AND OTHER HEALTH CARE PROVIDERS TO WORK TOGETHER TO BETTER COORDINATE CARE FOR PATIENTS. UNDER THE MODEL 4 BPCI PILOT, CMS WILL REIMBURSE QUALIFIED ACUTE CARE HOSPITALS A BLENDED PAYMENT FOR HOSPITAL INPATIENT CARE AND PHYSICIAN SERVICES CONNECTED WITH A SINGLE EPISODE OF CARE. THIS WILL OCCUR IN ASSOCIATION WITH INPATIENT HOSPITAL CLAIMS THAT THE BPCI PARTICIPATING HOSPITAL WILL BILL TO THEIR JURISDICTIONAL A/B MAC AS TYPE OF BILL 11X CLAIMS.",,
CLM_BILL_CLSFCTN_CD,VARCHAR(1),COLUMN,N,,N,N,,,A CODE IDENTIFYING THE TYPE OF FACILITY THAT PROVIDED CARE TO A BENEFICIARY ON AN INSTITUTIONAL CLAIM. IT IS THE FIRST DIGIT OF THE TYPE OF BILL (TOB).    REFERENCE TABLE: CLM_BILL_FAC_TYPE_CD,,
