name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_LCTN_CD_SQNC_NUM,"NUMBER(38,0)",COLUMN,N,,N,N,,,CLAIM LOCATION SEQUENCE NUMBER,,
CLM_AUDT_TRL_LCTN_CD,VARCHAR(5),COLUMN,Y,,N,N,,,THE CURRENT/MOST RECENT LOCATION STATUS OF THE CLAIM.,,
CLM_AUDT_TRL_LCTN_CLRK_ID,VARCHAR(9),COLUMN,Y,,N,N,,,THE USER ID RESPONSIBLE FOR THE CHANGE THAT CAUSED THE CLAIM TO GO INTO THE CURRENT LOCATION STATUS.,,
CLM_AUDT_TRL_RSN_CD,VARCHAR(5),COLUMN,Y,,N,N,,,IDENTIFIES A SPECIFIC CONDITION DETECTED DURING PROCESSING A RECORD,,
CLM_AUDT_TRL_STUS_CD,VARCHAR(2),COLUMN,Y,,N,N,,,THE CURRENT STATUS INFORMATION FOR THE PENDING AND PAID CLAIMS CURRENTLY IN THE SYSTEM.,,
CLM_AUDT_TRL_STUS_DT,DATE,COLUMN,Y,,N,N,,,THE LAST DATE WHEN THE CLAIM WAS UPDATED.,,
CLM_LCTN_ACTVTY_CD,VARCHAR(1),COLUMN,Y,,N,N,,,FRONT END ACTIVITY CODE,,
CLM_LCTN_CMN_CD,VARCHAR(3),COLUMN,Y,,N,N,,,COMMON CODE SET FOR THE HARMONIZED CLAIM LOCATION CODE FIELD.,,
CLM_LCTN_DT,DATE,COLUMN,Y,,N,N,,,THIS FIELD CONTAINS THE DATE THAT THE CLAIM WAS IN A SPECIFIC LOCATION IN THE SYSTEM (AS NOTED IN THE RELATED LOCATION FIELD W-INT-LOC-CODE).  THERE ARE 11 OCCURRENCES OF THIS FIELD ON THE CLAIM HISTORY RECORD.  IT PROVIDES THE DATE FOR THE AUDIT TRAIL OF,,
CLM_LCTN_PROGRS_HR_TIME,VARCHAR(1),COLUMN,Y,,N,N,,,THE SYSTEM TIME (HOUR) THE ACTIVITY WAS PERFORMED,,
CLM_PRIOR_STUS_CD,VARCHAR(2),COLUMN,Y,,N,N,,,PRIOR DETAIL STATUS,,
CLM_STUS_CMN_CD,VARCHAR(1),COLUMN,Y,,N,N,,,COMMON CODE SET FOR THE HARMONIZED CLAIM STATUS CODE FIELD.,,
CLM_STUS_CRNT_SW,VARCHAR(1),COLUMN,Y,,N,N,,,DERIVED DURING ETL TO INDICATE THAT THIS IS THE CURRENT (LATEST) VERSION OF THIS TABLE.,,
