name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_LINE_NUM,"NUMBER(38,0)",COLUMN,N,,N,N,,,A NUMBER IDENTIFYING THE POSITION OF THE SERVICE OR ITEM ON THE CLAIM. THIS IS A COMPONENT OF THE 5-PART KEY USED FOR JOINING CLAIMS.,,
PROD_HCPCS_MDFR_SGNTR_SK,"NUMBER(18,0)",COLUMN,Y,,N,N,,,"NOT DEFINED, BECAUSE THIS COLUMN IS NO LONGER BEING POPULATED.",,
CLM_ALOWD_CHRG_CD,VARCHAR(3),COLUMN,N,,N,N,,,"NOT DEFINED, BECAUSE THIS COLUMN IS CURRENTLY NOT POPULATED IN THE IDR AND THE DATA IS NOT PROVIDED BY THE SOURCE.",,
CLM_COPAY_PD_IND,VARCHAR(1),COLUMN,Y,,N,N,,,INDICATES IF A COPAY WAS MADE.,,
CLM_CTGRY_SRVC_CD,VARCHAR(2),COLUMN,N,,N,N,,,"NOT DEFINED, BECAUSE THIS COLUMN IS CURRENTLY NOT POPULATED IN THE IDR AND THE DATA IS NOT PROVIDED BY THE SOURCE.",,
CLM_LCL_POS_CD,VARCHAR(10),COLUMN,N,,N,N,,,PLACE OF SERVICE AS RECEIVED ON THE CLAIM THAT IDENTIFIES WHERE SERVICE WAS RENDERED.  THIS IS A STATE-SPECIFIC CODE.,,
CLM_LINE_ALOWD_CHRG_AMT,"NUMBER(15,2)",COLUMN,Y,,N,N,,,"THE MAXIMUM AMOUNT ALLOWED BY THE PLAN FOR PAYMENT. THE AMOUNT ELIGIBLE FOR PAYMENT AFTER APPLYING PRICING GUIDELINES/DISCOUNTS. USUALLY  INCLUDES COPAYMENT, COINSURANCE, DEDUCTIBLE, PENALTY, AND 3RD PARTY SAVINGS AMTS. FOR ENCTRS, MAY BE FFS EQUIVALENTS.",,
CLM_LINE_ALOWD_UNIT_QTY,"NUMBER(9,2)",COLUMN,Y,,N,N,,,A QUANTITY IDENTIFYING THE NUMBER OF SERVICES ALLOWED ON A CLAIM LINE OF SERVICE.,,
CLM_LINE_BENE_COPMT_AMT,"NUMBER(15,2)",COLUMN,Y,,N,N,,,AN AMOUNT INDICATING THE CO-PAYMENT A BENEFICIARY IS RESPONSIBLE FOR ON A DETAIL LINE OF SERVICE.,,
CLM_LINE_BENE_PD_AMT,"NUMBER(15,2)",COLUMN,Y,,N,N,,,AN AMOUNT IDENTIFYING THE PAYMENT MADE TO A BENEFICIARY FOR A DETAIL LINE OF SERVICE.,,
