name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_LINE_NUM,"NUMBER(38,0)",COLUMN,N,,N,N,,,A NUMBER IDENTIFYING THE POSITION OF THE SERVICE OR ITEM ON THE CLAIM. THIS IS A COMPONENT OF THE 5-PART KEY USED FOR JOINING CLAIMS.,,
CLM_LINE_FPS_RMRK_CD,VARCHAR(5),COLUMN,Y,,N,N,,,AN AMERICAN NATIONAL STANDARD INSTITUTE (ANSI) REMITTANCE ADVICE REMARK CODE (RARC) PROVIDING ADDITIONAL EXPLANATIONS FOR AN ADJUSTMENT ALREADY DESCRIBED BY A CLAIM ADJUSTMENT REASON CODE (CARC) OR TO CONVEY INFORMATION ABOUT REMITTANCE PROCESSING THAT IS NOT RELATED TO A SPECIFIC ADJUSTMENT OR CARC.    FOR EXAMPLE:  M2 = NOT PAID SEPARATELY WHEN THE PATIENT IS AN INPATIENT.  N395 = MISSING LABORATORY REPORT.    REFERENCE TABLE: CLM_RMTNC_ADVC_RMRK_CD,,
CLM_LINE_FPS_RSN_CD,VARCHAR(3),COLUMN,Y,,N,N,,,"AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) CLAIM ADJUSTMENT REASON CODE (CARC) IDENTIFYING THE REASON FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE THAT RESULTED IN A DIFFERENCE BETWEEN THE ORIGINAL BILLED AMOUNT AND THE FINAL PAID AMOUNT. AN ADJUSTMENT CAN RESULT IN A DENIAL, REDUCTION, OR INCREASE  IN PAYMENT.  FOR EXAMPLE:  1 = DEDUCTIBLE AMOUNT  B1 = NON-COVERED VISITS    REFERENCE TABLE: CLM_ADJSTMT_RSN_CD",,
CLM_LINE_THRPY_CAP_IND_1_CD,VARCHAR(1),COLUMN,Y,,N,N,,,THE FIELD USED TO IDENTIFY WHETHER A CLAIM IS SUBJECT TO A THERAPY CAP.,,
CLM_LINE_THRPY_CAP_IND_2_CD,VARCHAR(1),COLUMN,Y,,N,N,,,THE FIELD USED TO IDENTIFY WHETHER A CLAIM IS SUBJECT TO A THERAPY CAP.,,
CLM_LINE_THRPY_CAP_IND_3_CD,VARCHAR(1),COLUMN,Y,,N,N,,,THE FIELD USED TO IDENTIFY WHETHER A CLAIM IS SUBJECT TO A THERAPY CAP.,,
CLM_LINE_THRPY_CAP_IND_4_CD,VARCHAR(1),COLUMN,Y,,N,N,,,THE FIELD USED TO IDENTIFY WHETHER A CLAIM IS SUBJECT TO A THERAPY CAP.,,
CLM_LINE_THRPY_CAP_IND_5_CD,VARCHAR(1),COLUMN,Y,,N,N,,,THE FIELD USED TO IDENTIFY WHETHER A CLAIM IS SUBJECT TO A THERAPY CAP.,,
