name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_LINE_NUM,"NUMBER(38,0)",COLUMN,N,,N,N,,,A NUMBER IDENTIFYING THE POSITION OF THE SERVICE OR ITEM ON THE CLAIM. THIS IS A COMPONENT OF THE 5-PART KEY USED FOR JOINING CLAIMS.,,
CLM_ANSI_SGNTR_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY USED TO UNIQUELY IDENTIFY A COMBINATION OF ANSI REV CENTER CODES.,,
CLM_DDCTBL_COINSRNC_CD,VARCHAR(1),COLUMN,N,,N,N,,,CODE INDICATING WHETHER THE REVENUE CENTER CHARGES ARE SUBJECT TO DEDUCTIBLE AND/OR COINSURANCE. [NCH],,
CLM_ERR_SGNTR_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY THAT UNIQUELY IDENTIFIES A COMBINATION OF ERRORS THAT HAVE CO-OCCURRED WITHIN SOME SET OF CLAIMS.,,
CLM_LINE_INSTNL_ADJSTD_AMT,"NUMBER(11,2)",COLUMN,Y,,N,N,,,"EFFECTIVE WITH NCH VERSION I, THE AMOUNT OF COINSURANCE APPLICABLE TO THE LINE ITEM SERVICE DEFINED BY THE REVENUE CENTER AND HCPCS CODES.  FOR THOSE SERVICES SUBJECT TO OUTPATIENT PPS, THE APPLICABLE COINSURANCE IS WAGE ADJUSTED.  NOTE1:  THIS FIELD IS POPULATED FOR THOSE CLAIMS THAT ARE REQUIRED TO PROCESS THROUGH OUTPATIENT PPS PRICER.  THE TYPE OF BILLS (TOB) REQUIRED TO PROCESS THROUGH ARE: 12X, 13X, 14X (EXCEPT MARYLAND PROVIDERS, INDIAN HEALTH PROVIDERS AND CRITICAL ACCESS HOSPITALS (CAH)); 76X; 75X AND 34X IF CERTAIN HCPCS ARE ON THE BILL; AND ANY OUTPATIENT TYPE OF BILL WITH A CONDITION CODE 07 AND CERTAIN HCPCS.  THE ABOVE CLAIM TYPES COULD HAVE LINES THAT ARE NOT REQUIRED TO PRICE UNDER OPPS RULES SO THOSE LINES WOULD NOT HAVE DATA IN THIS FIELD.  NOTE2:  THIS FIELD WILL HAVE EITHER A ZERO (FOR SERVICES FOR WHICH COINSURANCE IS NOT APPLICABLE), A REGULAR COINSURANCE AMOUNT (CALCULATED ON EITHER CHARGES OR A FEE SCHEDULE) OR IF SUBJECT TO OP PPS THE NATIONAL COINSURANCE AMOUNT WILL BE WAGE ADJUSTED. THE WAGE ADJUSTED COINSURANCE IS BASED ON THE MSA WHERE THE PROVIDER IS LOCATED OR ASSIGNED AS A RESULT OF A RECLASSIFICATION.  NOTE3:  IT HAS BEEN DISCOVERED THAT THIS FIELD MAY BE POPULATED WITH DATA ON CLAIMS WITH DATES OF SERVICE PRIOR TO 7/00 (IMPLEMENTATION OF CLAIM LINE EXPANSION OPPS/HHPPS).  THE ORIGINAL UNDERSTANDING OF THE NEW REVENUE CENTER FIELDS WAS THAT DATA WOULD BE POPULATED ON CLAIMS WITH DATES OF SERVICE 7/00 AND FORWARD.  DATA HAS BEEN FOUND IN CLAIMS WITH DATES OF SERVICE PRIOR TO 7/00 BECAUSE THE STANDARD SYSTEMS HAVE PROCESSED ANY CLAIM COMING IN 7/00 AND AFTER, MEETING THE ABOVE CRITERIA, THROUGH THE OUTPATIENT CODE EDITOR (OCE) REGARDLESS OF THE DATES OF SERVICE [NCH]",,
CLM_LINE_INSTNL_APC_BUFR_CD,VARCHAR(2),COLUMN,Y,,N,N,,,"A UNIQUE IDENTIFIER OF A UNIFORM BILLING REVENUE TYPE, FOR EXAMPLE:  0123 = SEMI-PRIVATE 2 BED (MEDICAL OR GENERAL)-PEDIATRIC",,
