name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_LINE_NUM,"NUMBER(38,0)",COLUMN,N,,N,N,,,A NUMBER IDENTIFYING THE POSITION OF THE SERVICE OR ITEM ON THE CLAIM. THIS IS A COMPONENT OF THE 5-PART KEY USED FOR JOINING CLAIMS.,,
CLM_ADDTNL_DCMTN_CD,VARCHAR(1),COLUMN,N,,N,N,,,"EFFECTIVE 5/92, INDICATION THAT ADDITIONAL CLAIM-DOCUMENTATION WAS SUBMITTED FOR THIS LINE ITEM SERVICE ON THE NON-INSTITUTIONAL CLAIM.",,
CLM_CLIA_ALERT_IND_CD,VARCHAR(1),COLUMN,N,,N,N,,,"EFFECTIVE WITH NCH VERSION G, THE ALERT CODE (RESULTING FROM CLIA EDITING) ADDED BY CWF AS A LINE ITEM ON THE CARRIER CLAIM (NON-DMERC). [NCH]",,
CLM_DMERC_DCSN_IND_SW,VARCHAR(1),COLUMN,N,,N,N,,,"EFFECTIVE WITH NCH VERSION G, THE SWITCH IDENTIFYING WHETHER THE DMERC CLAIM REPRESENTS AN ORIGINAL DECISION OR A REVERSAL OF AN EARLIER DECISION ON THE ORIGINAL CLAIM. [NCH]",,
CLM_DUP_CHK_IND_CD,VARCHAR(1),COLUMN,N,,N,N,,,"EFFECTIVE 1/1/2004 WITH THE IMPLEMENTATION OF NCH/NMUD CR#1, THE CODE USED TO IDENTIFY AN ITEM OR SERVICE THAT APPEARED TO BE A DUPLICATE BUT HAS BEEN REVIEWED BY A CARRIER AND APPROPRIATELY APPROVED FOR PAYMENT.  NOTE1:  PRIOR TO 10/2005 (IMPLEMENTATION OF NCH/NMUD CR#2), THIS DATA WAS STORED IN POSITION 246 (FILLER) ON THE LINE ITEM TRAILER. [NCH]",,
CLM_ERR_SGNTR_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY THAT UNIQUELY IDENTIFIES A COMBINATION OF ERRORS THAT HAVE CO-OCCURRED WITHIN SOME SET OF CLAIMS.,,
CLM_FED_TYPE_SRVC_CD,VARCHAR(1),COLUMN,N,,N,N,,,"TYPE OF SERVICE AS DEFINED IN THE HCFA MEDICARE CARRIER MANUAL, FOR THIS LINE ITEM ON THE NON-INSTITUTIONAL CLAIM. (NCH)",,
CLM_LINE_CARR_CLNCL_CHRG_AMT,"NUMBER(11,2)",COLUMN,Y,,N,N,,,FEE SCHEDULE CHARGE AMOUNT APPLIED FOR THE LINE ITEM CLINICAL LABORATORY SERVICE ON THE CARRIER CLAIM (NON-DMERC).,,
