name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,,,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,,,
CLM_LINE_NUM,"NUMBER(38,0)",COLUMN,N,,N,N,,,,,
CLM_RSN_CD,VARCHAR(1),COLUMN,N,,N,N,,,,,
CLM_CMPND_CD,VARCHAR(1),COLUMN,N,,N,N,,,,,
CLM_CTSTRPHC_CVRG_IND_CD,VARCHAR(1),COLUMN,N,,N,N,,,,,
CLM_DAW_PROD_SLCTN_CD,VARCHAR(1),COLUMN,N,,N,N,,,,,
CLM_DRUG_CVRG_STUS_CD,VARCHAR(2),COLUMN,N,,N,N,,,,,
CLM_DSPNSNG_STUS_CD,VARCHAR(1),COLUMN,N,,N,N,,,,,
CLM_PRCNG_EXCPTN_CD,VARCHAR(1),COLUMN,N,,N,N,,,,,
CLM_LCL_PROD_NDC_DEA_CLS_CD,VARCHAR(10),COLUMN,N,,N,N,,,,,
CLM_LCL_PROD_NDC_HIC3_CD,VARCHAR(10),COLUMN,N,,N,N,,,,,
CLM_LCL_THRPTC_CLS_CD,VARCHAR(10),COLUMN,N,,N,N,,,,,
CLM_LINE_DAYS_SUPLY_QTY,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,,
CLM_LINE_GRS_ABOVE_THRSHLD_AMT,"NUMBER(11,2)",COLUMN,Y,,N,N,,,,,
CLM_LINE_GRS_BLW_THRSHLD_AMT,"NUMBER(11,2)",COLUMN,Y,,N,N,,,,,
CLM_LINE_INGRDNT_CST_AMT,"NUMBER(11,2)",COLUMN,Y,,N,N,,,,,
CLM_LINE_LIS_AMT,"NUMBER(11,2)",COLUMN,Y,,N,N,,,,,
CLM_LINE_MTRC_QTY,"NUMBER(10,3)",COLUMN,Y,,N,N,,,,,
CLM_LINE_RX_FILL_NUM,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,,
CLM_LINE_RX_ORGN_CD,VARCHAR(1),COLUMN,N,,N,N,,,,,
