name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
GEO_BENE_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A BENEFICIARYS ZIP CODE, AND ESTABLISHES UNIQUENESS OF A CLAIM. THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_DT_SGNTR_SK,"NUMBER(13,0)",COLUMN,N,,N,N,,,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY IDENTIFYING A DISTINCT COMBINATION OF RELATED DATES USED TO ESTABLISH UNIQUENESS OF A CLAIM. THE DISTINCT COMBINATION OF DATE GROUPINGS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS.,,
CLM_TYPE_CD,"NUMBER(38,0)",COLUMN,N,,N,N,,,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,,
CLM_NUM_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,"AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO DIFFERENTIATE CLAIMS THAT HAVE COMMON GEOGRAPHY, CLAIM DATES AND CLAIM TYPES. WHEN THE SAME COMBINATION OF GEO_BENE_SK, CLM_DT_SGNTR_SK, AND CLM_TYPE_CD IS NOT UNIQUE, THE CLM_NUM_SK IS SEQUENCED TO MAKE THE 4 AND 5 PART KEYS UNIQUE.  THIS IS A COMPONENT OF THE CLAIM 4 AND 5-PART KEYS USED FOR JOINING CLAIMS.",,
CLM_CARR_PMT_DNL_CD,VARCHAR(2),COLUMN,N,,N,N,,,REASONS FOR DENYING PAYMENT TO CARRIERS.,,
CLM_CLNCL_TRIL_NUM,VARCHAR(8),COLUMN,Y,,N,N,,,"EFFECTIVE SEPTEMBER 1, 2008 WITH THE IMPLEMENTATION OF CR#3, THE NUMBER USED TO IDENTIFY ALL ITEMS AND SERVICES PROVIDED TO A BENEFICIARY DURING THEIR PARTICIPATION IN A CLINICAL TRIAL. (FROM NCH CLAIM CLINICAL TRIAL NUMBER)",,
CLM_HOSPC_OVRRD_CD,VARCHAR(1),COLUMN,N,,N,N,,,"EFFECTIVE WITH NCH VERSION H, THE CODE USED TO INDICATE WHETHER OR NOT AN HOSPICE INVESTIGATION APPLIES TO THE CLAIM (USED FOR INTERNAL CWFMQA EDITING PURPOSES).    NOTE:  BEGINNING WITH NCH WEEKLY PROCESS DATE 10/3/97 THIS FIELD WAS POPULATED WITH DATA. CLAIMS PROCESSED PRIOR TO 10/3/97 WILL CONTAIN SPACES IN THIS FIELD. [NCH]",,
CLM_MCO_OVRRD_CD,VARCHAR(1),COLUMN,N,,N,N,,,"EFFECTIVE WITH NCH VERSION H, THE CODE USED TO INDICATE WHETHER OR NOT AN MCO INVESTIGATION APPLIES TO THE CLAIM (USED FOR INTERNAL CWFMQA EDITING PURPOSES).    NOTE:  BEGINNING WITH NCH WEEKLY PROCESS DATE 10/3/97 THIS FIELD WAS POPULATED WITH DATA. CLAIMS PROCESSED PRIOR TO 10/3/97 WILL CONTAIN SPACES IN THIS FIELD. [NCH]",,
CLM_MDCR_PRFNL_BENE_PD_AMT,"NUMBER(11,2)",COLUMN,Y,,N,N,,,"EFFECTIVE WITH NCH VERSION H, THE TOTAL PAYMENTS MADE TO THE BENEFICIARY FOR THIS CLAIM (SUM OF LINE PAYMENT AMOUNTS TO THE BENEFICIARY.)  NOTE:  BEGINNING WITH NCH WEEKLY PROCESS DATE 10/3/97 THIS FIELD WAS POPULATED WITH DATA. CLAIMS PROCESSED PRIOR TO 10/3/97 WILL CONTAIN ZEROES IN THIS FIELD. [NCH]",,
CLM_MDCR_PRFNL_BENE_PMT_AMT,"NUMBER(11,2)",COLUMN,Y,,N,N,,,"EFFECTIVE WITH NCH VERSION H, THE AMOUNT PAID BY THE BENEFICIARY FOR THE NON-INSTITUTIONAL PART B SERVICES.    NOTE:  BEGINNING WITH NCH WEEKLY PROCESS DATE 10/3/97 THIS FIELD WAS POPULATED WITH DATA. CLAIMS PROCESSED PRIOR TO 10/3/97 WILL CONTAIN  ZEROES IN THIS FIELD. [NCH]",,
