name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
CNTRCT_PBP_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY USED TO IDENTIFY A VERSION OF A CONTRACT.,,
CNTRCT_PLAN_CNTCT_1ST_NAME,VARCHAR(10),COLUMN,N,,N,N,,,THE GIVEN NAME OF THE CONTACT.,,
CNTRCT_PLAN_CNTCT_LAST_NAME,VARCHAR(20),COLUMN,N,,N,N,,,THE SURNAME OF THE CONTACT.,,
CNTRCT_PLAN_CNTCT_MDL_NAME,VARCHAR(1),COLUMN,N,,N,N,,,THE FIRST CHARACTER OF THE MIDDLE NAME REPRESENTING THE MIDDLE NAME OF THE CONTACT.,,
CNTRCT_PLAN_CNTCT_EFCTV_DT,DATE,COLUMN,N,,N,N,,,CONTRACT PLAN-LEVEL CONTACT VERSION EFFECTIVE DATE.,,
CNTRCT_PLAN_CNTCT_OBSLT_DT,DATE,COLUMN,N,,N,N,,,CONTRACT PLAN-LEVEL CONTACT VERSION OBSOLETE DATE.,,
CNTRCT_PLAN_CNTCT_SQNC_NUM,"NUMBER(38,0)",COLUMN,N,,N,N,,,ETL-GENERATED SEQUENCE NUMBER.,,
CNTRCT_PBP_BGN_DT,DATE,COLUMN,N,,N,N,,,THE START DATE IS THE BEGINNING OF THE LEGAL PERIOD THAT THE PLAN BENEFIT PACKAGE (PBP) CAN OPERATE AS AN ENTITY THAT PROVIDES BENEFITS TO THE BENEFICIARY. THE PLAN/PROVIDER SIGNS A ONE YEAR CONTRACT THAT ALLOWS IT TO LEGALLY PROVIDE BENEFITS TO MEDICARE BENEFICIARIES.,,
CNTRCT_PBP_END_DT,DATE,COLUMN,N,,N,N,,,DATE AFTER WHICH THE PLAN/PBP IS NO LONGER EFFECTIVE.,,
CNTRCT_PLAN_CNTCT_PREX_NAME,VARCHAR(4),COLUMN,Y,,N,N,,,A DESIGNATION INDICATING EITHER SEX OR MARITAL STATUS OF THE CONTACT.,,
CNTRCT_PLAN_CNTCT_TITLE_NAME,VARCHAR(50),COLUMN,Y,,N,N,,,A DESIGNATION ASSOCIATED WITH THE CONTACT.,,
