name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
CNTRCT_PBP_SK,"NUMBER(38,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY USED TO IDENTIFY A VERSION OF A CONTRACT.,,
CNTRCT_PBP_EFCTV_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,AN IDR ASSIGNED SURROGATE KEY USED TO IDENTIFY A VERSION OF A CONTRACT.,,
CNTRCT_PBP_SK_EFCTV_DT,DATE,COLUMN,N,,N,N,,,CONTRACT VERSION EFFECTIVE DATE.,,
CNTRCT_PBP_SK_OBSLT_DT,DATE,COLUMN,N,,N,N,,,CONTRACT VERSION OBSOLETE DATE.,,
CNTRCT_NUM,VARCHAR(5),COLUMN,Y,,N,N,,,A NUMBER UNIQUELY IDENTIFYING A MANAGED CARE ORGANIZATION (MCO) OR PRESCRIPTION DRUG PLAN (PDP) THAT PROVIDES COVERAGE TO ELIGIBLE MEDICARE BENEFICIARIES.,,
CNTRCT_PBP_NUM,VARCHAR(3),COLUMN,N,,N,N,,,A NUMBER UNIQUELY IDENTIFYING A PLAN BENEFIT PACKAGE (PBP) OFFERED WITHIN A MANAGED CARE ORGANIZATION (MCO) OR PRESCRIPTION DRUG PLAN (PDP) CONTRACT.,,
CNTRCT_PMT_STUS_CD,VARCHAR(2),COLUMN,Y,,N,N,,,CONTRACT PAYMENT STATUS.,,
CNTRCT_PBP_PMT_STUS_BGN_DT,DATE,COLUMN,Y,,N,N,,,DATE THE PAYMENT STATUS IS EFFECTIVE.,,
CNTRCT_PBP_PMT_STUS_END_DT,DATE,COLUMN,Y,,N,N,,,DATE THE PAYMENT STATUS IS TERMINATED.,,
CNTRCT_ENRLMT_STUS_CD,VARCHAR(2),COLUMN,Y,,N,N,,,ENROLLMENT STATUS INTO THE CONTRACT.,,
CNTRCT_PBP_ENRLMT_STUS_BGN_DT,DATE,COLUMN,Y,,N,N,,,DATE THE STATUS IS EFFECTIVE.,,
CNTRCT_PBP_ENRLMT_STUS_END_DT,DATE,COLUMN,Y,,N,N,,,DATE THE PBP ELECTION STARTED.  FOR PART D PBPS THIS DATE IDENTIFIES WHEN THE PART D ENROLLMENT BECAME EFFECTIVE FOR THE PART D CONTRACT .,,
CNTRCT_EGHP_CD,VARCHAR(1),COLUMN,Y,,N,N,,,CONTRACTS EMPLOYER GROUP HEALTH PLAN CODE.,,
CNTRCT_PACE_TYPE_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A CODE IDENTIFYING A TYPE OF PROGRAM OF ALL-INCLUSIVE CARE FOR THE ELDERLY (PACE) PLAN BENEFIT PACKAGE (PBP) PLAN.    REFERENCE TABLE: CNTRCT_PACE_TYPE_CD,,
CNTRCT_DRUG_PLAN_IND_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A FIELD THAT INDICATES WHETHER A SPECIFIC PLAN BENEFIT PACKAGE OFFERS PART D COVERAGE.  Y = PLAN IS A DRUG PLAN (HAS PART D BENEFIT)  N = PLAN IS NOT A DRUG PLAN,,
CNTRCT_REINSRNC_CD,VARCHAR(1),COLUMN,Y,,N,N,,,"INDICATION OF THE PLAN PARTICIPATING IN THE REINSURANCE DEMONSTRATION.  VALID VALUES ARE BLANK - NOT PARTICIPATING, 1  - 1A,     2 - 1B,    3 - 2",,
CNTRCT_PBP_TYPE_CD,VARCHAR(2),COLUMN,Y,,N,N,,,A CODE DESCRIBING THE TYPE OF PLAN.,,
CNTRCT_SPCL_PLAN_IND_CD,VARCHAR(2),COLUMN,Y,,N,N,,,INDICATOR FOR SPECIAL NEEDS PLAN.,,
CNTRCT_PBP_STUS_CD,VARCHAR(3),COLUMN,Y,,N,N,,,"PBP STATUS.  VALID VALUE IS A = ACTIVE. MARX WILL SET THE VALUE TO I = INACTIVE, WHEN THERE IS NO SUBSEQUENT RECORD FOR THE SAME PBP.",,
CNTRCT_PBP_PTD_BNFT_TYPE_CD,VARCHAR(1),COLUMN,Y,,N,N,,,A CODE IDENTIFYING WHICH OF THE FOUR STATUTORILY DEFINED TYPES OF PART D BENEFITS A PLAN CAN OFFER.,,
CNTRCT_PBP_EMPLR_CY_IND_CD,VARCHAR(1),COLUMN,Y,,N,N,,,INDICATION OF EMPLOYER CALENDAR YEAR.,,
CNTRCT_EMPLR_PLAN_IND_CD,VARCHAR(1),COLUMN,Y,,N,N,,,INDICATES IF A PLAN IS ONLY OFFERED TO EMPLOYER GROUPS.  APPLIES TO LOCAL AND REGIONAL MA CONTRACTS AND PDPS.    0 = PLAN IS NOT EMPLOYER GROUP ONLY  1 = PLAN IS OPEN ONLY TO EMPLOYER GROUPS,,
CNTRCT_PBP_BSF_WTHDRWL_AMT,"NUMBER(7,2)",COLUMN,Y,,N,N,,,THE AMOUNT WITHDRAWN FROM THE BENEFICIARY STABILIZATION FUND.,,
CNTRCT_PBP_BSF_WTHLD_AMT,"NUMBER(7,2)",COLUMN,Y,,N,N,,,THE AMOUNT WITHHELD FROM THE BENEFICIARY STABILIZATION FUND.,,
CNTRCT_PBP_BGN_DT,DATE,COLUMN,Y,,N,N,,,THE START DATE OF THE PBP CONTRACT.,,
CNTRCT_PBP_END_DT,DATE,COLUMN,Y,,N,N,,,THE END DATE OF THE PBP CONTRACT.,,
CNTRCT_PBP_NAME,VARCHAR(75),COLUMN,Y,,N,N,,,"TEXT LABEL DESCRIBING THE PBP, USUALLY THE PRODUCT NAME.",,
CNTRCT_PBP_REDSGNTN_DT,DATE,COLUMN,Y,,N,N,,,PLAN REDESIGNATION EFFECTIVE DATE.,,
META_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,"A UNIQUE LEGACY NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR), FORMULATED WITH A DATE AND A 3-DIGIT SEQUENCE NUMBER, WHICH IDENTIFIES THE BATCH PROCESS THAT INITIALLY LOADED A ROW IN THE IDR. DUE TO THE LIMITATION OF A 3-DIGIT VALUE, THIS IS BEING REPLACED BY META_SRC_PRCSG_ID ON NEW IDR TABLES AS THE SOURCE DATA TRACKING STANDARD.",,
META_SRC_SK,"NUMBER(38,0)",COLUMN,Y,,N,N,,,A UNIQUE NUMERIC VALUE ASSIGNED BY THE INTEGRATED DATA REPOSITORY (IDR) USED TO IDENTIFY THE SPECIFIC SOURCE OF THE DATA WHEN A ROW IS LOADED INTO THE IDR.    REFERENCE TABLE: V2_MDCR_META_DCTNRY_SRC,,
CNTRCT_FRMLRY_ID,VARCHAR(20),COLUMN,Y,,N,N,,,A UNIQUE IDENTIFIER ASSIGNED TO EACH NEWLY CREATED FORMULARY.  (DDL_20090320_2),,
