name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
PRVDR_SK,"NUMBER(18,0)",COLUMN,N,,N,N,,,AN IDR ASSIGNED SURROGATE KEY USED TO IDENTIFY A PARTY ENGAGED IN ACTIVITY RELATED TO CMS.,,
PRVDR_HSTRY_EFCTV_DT,DATE,COLUMN,N,,N,N,,,A DATE IDENTIFYING WHEN A PROVIDER RECORD BECAME EFFECTIVE.,,
PRVDR_HSTRY_OBSLT_DT,DATE,COLUMN,N,,N,N,,,A DATE IDENTIFYING WHEN A PROVIDER RECORD BECAME OBSOLETE.,,
PRVDR_GNRC_ID_NUM,VARCHAR(20),COLUMN,Y,,N,N,,,"A GENERIC IDENTIFIER FOR PARTIES.  FOR EXAMPLE, THIS COULD BE A UPIN, PIN, NSC SUPPLIER OR NCPDP NUMBER.",,
PRVDR_TYPE_CD,VARCHAR(2),COLUMN,N,,N,N,,,IDENTIFIES THE TYPE OF LEGACY PROVIDER IDENTIFIER.,,
PRVDR_ID_QLFYR_CD,VARCHAR(2),COLUMN,N,,N,N,,,THE TYPE OF DATA USED TO IDENTIFY THE SERVICE PROVIDER OF THE CLAIM:    01 = NPI  07 = NCPDP NUMBER  08 = STATE LICENSE NUMBER  11 = FEDERAL TAX NUMBER  12 = DEA,,
PRVDR_BIRTH_DT,DATE,COLUMN,N,,N,N,,,A DATE OF BIRTH OF A PROVIDER.,,
PRVDR_1ST_NAME,VARCHAR(35),COLUMN,Y,,N,N,,,A FIRST NAME OF A PROVIDER.,,
PRVDR_MDL_NAME,VARCHAR(25),COLUMN,Y,,N,N,,,A MIDDLE NAME OF A PROVIDER.,,
PRVDR_LAST_NAME,VARCHAR(35),COLUMN,Y,,N,N,,,A LAST NAME OF A PROVIDER.,,
PRVDR_NAME,VARCHAR(70),COLUMN,Y,,N,N,,,THE NAME OF THE PROVIDER.,,
PRVDR_LGL_NAME,VARCHAR(100),COLUMN,Y,,N,N,,,THE SELF DESIGNATED LEGAL NAME OF THE ENTITY.,,
PRVDR_NPI_NUM,VARCHAR(10),COLUMN,Y,,N,N,,,NPI NUMBER FOR MEDICAID PROVIDERS.,,
PRVDR_DMEPOS_NUM,VARCHAR(13),COLUMN,N,,N,N,,,,,
