CNTRCT_PBP_SK,CNTRCT_PLAN_CNTCT_OBSLT_DT,CNTRCT_PLAN_CNTCT_TYPE_CD,CNTRCT_PLAN_FREE_EXTNSN_NUM,CNTRCT_PLAN_CNTCT_FREE_NUM,CNTRCT_PLAN_CNTCT_EXTNSN_NUM,CNTRCT_PLAN_CNTCT_TEL_NUM,CNTRCT_PBP_END_DT,CNTRCT_PBP_BGN_DT,CNTRCT_PLAN_CNTCT_ST_1_ADR,CNTRCT_PLAN_CNTCT_ST_2_ADR,CNTRCT_PLAN_CNTCT_CITY_NAME,CNTRCT_PLAN_CNTCT_STATE_CD,CNTRCT_PLAN_CNTCT_ZIP_CD
-625859679652,9999-12-31,62,9839573,3092458428,0997060,7709855427,2026-12-31,2026-03-05,West Street,Avenue M,Los Angeles,CA,992992960
-971554845924,9999-12-31,~,2762655,4617166690,9473555,5788893354,2026-12-31,2026-03-05,West Street,,Los Angeles,CA,335365365
-167823716714,9999-12-31,30,7507582,1977471488,1937626,1083174076,2026-12-31,2026-03-05,319 E. Street,Avenue M,San Francisco,CA,471904497
-624517337610,9999-12-31,~,9889652,1897271408,6958376,7488852069,2026-12-31,2026-03-05,North Street,,San Jose,CA,078401648
-971222162725,9999-12-31,30,1181909,1732100806,3537713,9037504851,2026-12-31,2026-03-05,West Street,,San Jose,CA,817259880
-690729440274,9999-12-31,62,4793012,7245904999,1644482,8761620993,2026-12-31,2026-03-05,West Street,,Los Angeles,CA,633953666
-663855228204,9999-12-31,30,8702663,6429319033,2685585,3836262457,2026-12-31,2026-03-05,319 E. Street,,Los Angeles,CA,287890968
-041699672892,9999-12-31,30,4657872,1949935595,4525137,5939923237,2026-12-31,2026-03-05,319 E. Street,,San Jose,CA,475825240
-519523658260,9999-12-31,~,7784377,3544225407,9887191,9993760962,2026-12-31,2026-03-05,319 E. Street,Avenue M,Los Angeles,CA,156512056
-998243067640,9999-12-31,~,4548423,2288438370,5292611,7956622086,2026-12-31,2026-03-05,West Street,Avenue M,Los Angeles,CA,573283861
