CNTRCT_PBP_SK,CNTRCT_NUM,CNTRCT_PBP_NUM,CNTRCT_PBP_NAME,CNTRCT_PBP_TYPE_CD,CNTRCT_DRUG_PLAN_IND_CD,CNTRCT_PBP_SK_EFCTV_DT,CNTRCT_PBP_END_DT,CNTRCT_PBP_SK_OBSLT_DT
-625859679652,Z0003,006,Vitality Plan,02,N,2025-04-12,2028-05-15,2025-08-27
-971554845924,Z0002,010,Wellness Plus,02,Y,2024-09-26,2028-05-20,2025-02-13
-167823716714,Z0003,010,Happy Heart,10,Y,2021-03-10,2028-05-15,2025-12-04
-624517337610,Z0004,007,Health Plan,01,Y,2023-05-01,2028-08-31,2025-04-02
-971222162725,Z0005,005,Wellness,01,Y,2024-06-17,2026-03-14,2024-12-01
-690729440274,Z0004,010,Wellness Plus,18,N,2021-05-27,2021-09-06,9999-12-31
-663855228204,Z0001,007,Vitality Plan,04,Y,2026-02-23,2029-01-23,9999-12-31
-041699672892,Z0010,009,Wellness Plus,04,N,2023-09-22,2024-09-18,9999-12-31
-519523658260,Z0003,008,Health Plan,02,Y,2023-02-21,2027-02-01,9999-12-31
-998243067640,Z0007,005,Silver Fox,04,Y,2025-04-08,2025-11-30,9999-12-31
