SYSTEM,CODE,DISPLAY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,0,"Unknown Value (but present in data)"
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,1,"Emergency - The patient required immediate medical intervention as a result of severe, life threatening, or potentially disabling conditions. Generally, the patient was admitted through the emergency room."
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,2,"Urgent - The patient required immediate attention for the care and treatment of a physical or mental disorder. Generally, the patient was admitted to the first available and suitable accommodation."
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,3,"Elective - The patient's condition permitted adequate time to schedule the availability of suitable accommodations."
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,4,"Newborn - Necessitates the use of special source of admission codes."
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,5,"Trauma Center - visits to a trauma center/hospital as licensed or designated by the State or local government authority authorized to do so, or as verified by the American College of Surgeons and involving a trauma activation."
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,6,"Reserved"
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,7,"Reserved"
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,8,"Reserved"
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-ADMSN-TYPE-CD,9,"Unknown - Information not available."
