SYSTEM,CODE,DISPLAY
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,11,HOSPITAL INPATIENT (INCLUDING MEDICARE PART A)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,16,HOSPITAL-INTERMEDIATE CARE - LEVEL II (OBSOLETE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,17,HOSPITAL-INTERMEDIATE CARE - LEVEL III (OBSOLETE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,15,HOSPITAL-INTERMEDIATE CARE - LEVEL I (OBSOLETE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,14,HOSPITAL - LABORATORY SERVICES PROVIDED TO NON-PATIENTS
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,12,HOSPITAL INPATIENT (MEDICARE PART B ONLY)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,19,RESERVED FOR NATIONAL ASSIGNMENT
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,18,HOSPITAL - SWING BEDS
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,13,HOSPITAL OUTPATIENT
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,23,SKILLED NURSING - OUTPATIENT
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,26,SNF-INTERMEDIATE CARE - LEVEL II (OBSOLETE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,25,SNF-INTERMEDIATE CARE - LEVEL I (OBSOLETE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,24,SNF-OTHER (PART B) - (OBSOLETE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,27,SNF-INTERMEDIATE CARE - LEVEL III (OBSOLETE)
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,28,SKILLED NURSING - SWING BEDS
https://bluebutton.cms.gov/fhir/CodeSystem/CLM-BILL-CLSFCTN-CD,22,SKILLED NURSING - INPATIENT (MEDICARE PART B ONLY)
