CNTRCT_NUM,CNTRCT_PBP_NUM,CNTRCT_PBP_NAME,CNTRCT_PBP_TYPE_CD
Z0001,001,Super Saver Medicare Rx Saver Plus (PDP),1
Z0001,002,Super Saver Medicare Rx Saver Plus (PDP),1
Z0001,003,Super Saver Medicare Rx Saver Plus (PDP),1
Z0001,004,Super Saver Medicare Rx Saver Plus (PDP),1
Z0001,005,Super Saver Medicare Rx Saver Plus (PDP),1
Z0001,006,Super Saver Medicare Rx Saver Plus (PDP),1
Z0001,007,Super Saver Medicare Rx Saver Plus (PDP),1
Z0001,008,Super Saver Medicare Rx Saver Plus (PDP),1
Z0001,009,Super Saver Medicare Rx Saver Plus (PDP),1
Z0001,010,Super Duuuuper Medicare Rx Saver Plus (PDP),1
