=> SELECT DISTINCT
    count(*),
    length("performingProviderIdNumber"),
    length("performingPhysicianUpin"),
    length("performingPhysicianNpi"),
    length("organizationNpi"),
    length("providerTaxNumber"),
    length("providerZipCode")
  FROM "CarrierClaimLines"
  GROUP BY
    length("performingProviderIdNumber"),
    length("performingPhysicianUpin"),
    length("performingPhysicianNpi"),
    length("organizationNpi"),
    length("providerTaxNumber"),
    length("providerZipCode");

(Note: I edited the column names here, as I forgot to in the query and they were mostly all "length".)

   count    | prvId  | prvUpn | prvNpi | orgNpi | prvTax | prvZip
------------+--------+--------+--------+--------+--------+--------
          1 |      3 |        |     10 |        |      9 |
          1 |      4 |        |      6 |        |      9 |
          1 |      4 |        |      9 |        |      9 |
          1 |      5 |        |      5 |        |      9 |
          1 |      5 |        |      9 |        |      9 |      9
          1 |      6 |        |      1 |        |      9 |      9
          1 |      6 |        |      5 |        |      9 |      9
          1 |      7 |      6 |      8 |        |      9 |      9
          1 |      7 |        |      7 |        |      9 |      9
          1 |      7 |        |      9 |        |      9 |
          1 |      7 |        |        |        |      9 |
          1 |      8 |        |      7 |        |      9 |      9
          1 |      9 |      6 |      4 |        |      9 |      9
          1 |      9 |      6 |      8 |        |      9 |      9
          1 |     10 |      6 |      9 |        |      9 |      9
          1 |     10 |        |      3 |        |      9 |      9
          1 |     10 |        |      5 |        |      9 |
          1 |     10 |        |      6 |        |      9 |
          1 |     10 |        |     10 |        |      0 |
          2 |      2 |        |     10 |        |      9 |
          2 |      4 |        |        |        |      0 |
          2 |      6 |        |      2 |        |      9 |      9
          2 |      6 |        |      3 |        |      9 |      9
          2 |      8 |        |      9 |        |      9 |
          2 |      9 |      6 |      9 |        |      9 |      9
          2 |      9 |        |      1 |        |      9 |      9
          2 |      9 |        |      2 |        |      9 |      9
          2 |      9 |        |      3 |        |      9 |      9
          2 |      9 |        |      5 |        |      9 |      9
          2 |      9 |        |        |        |      9 |
          2 |     15 |     12 |        |        |     10 |
          3 |      2 |        |        |        |      9 |
          3 |      3 |        |        |        |      9 |
          3 |      4 |      4 |     10 |        |      9 |      9
          3 |      6 |        |      7 |        |      9 |      9
          3 |      8 |        |        |        |      9 |
          3 |      9 |        |      6 |        |      9 |      9
          3 |      9 |        |      7 |        |      9 |      9
          3 |     10 |        |      2 |        |      9 |      9
          3 |     10 |        |        |        |      9 |
          4 |      1 |        |        |        |      9 |
          4 |      2 |        |     10 |        |      9 |      9
          4 |      6 |        |     10 |        |      0 |
          4 |      8 |      6 |        |        |      9 |      9
          4 |     10 |      6 |        |        |      9 |      9
          4 |     10 |        |     10 |        |      0 |      9
          5 |      7 |        |      8 |        |      9 |      9
          6 |      6 |        |      6 |        |      9 |      9
          6 |      9 |        |      8 |        |      9 |      9
          6 |     10 |        |      7 |        |      9 |      9
          8 |      4 |        |        |        |      9 |      9
          8 |      8 |        |      4 |        |      9 |      9
         10 |      6 |        |      8 |        |      9 |      9
         10 |     10 |        |      8 |        |      9 |      9
         11 |      1 |        |     10 |        |      9 |
         11 |      6 |        |      4 |        |      9 |      9
         12 |      9 |        |      4 |        |      9 |      9
         15 |     10 |        |      5 |        |      9 |      9
         16 |      4 |        |        |        |      9 |
         16 |      8 |        |      9 |        |      9 |      9
         19 |      7 |        |      4 |        |      9 |      9
         19 |     10 |        |      1 |        |      9 |      9
         25 |      4 |        |      9 |        |      9 |      9
         27 |      8 |        |     10 |        |      0 |
         29 |      7 |      6 |        |        |      9 |      9
         30 |      5 |        |        |        |      9 |
         32 |      6 |        |        |        |      9 |
         34 |     10 |        |      4 |        |      9 |      9
         36 |      6 |      3 |     10 |        |      9 |      9
         37 |      8 |      3 |     10 |        |      9 |      9
         40 |      7 |        |      9 |        |      9 |      9
         43 |      5 |        |        |        |      9 |      9
         50 |      4 |        |     10 |        |      9 |
         86 |      4 |      6 |        |        |      9 |      9
        103 |      5 |      6 |        |        |      9 |      9
        166 |      7 |        |     10 |        |      9 |
        176 |      9 |        |      9 |        |      9 |      9
        188 |     10 |        |      9 |        |      9 |      9
        198 |      6 |        |      9 |        |      9 |      9
        217 |      8 |        |        |        |      9 |      9
        234 |      9 |      6 |        |        |      9 |      9
        251 |      5 |        |     10 |        |      9 |
        263 |      9 |        |        |        |      9 |      9
        264 |      6 |      1 |     10 |        |      9 |      9
        332 |      7 |        |        |        |      9 |      9
        376 |     15 |        |        |        |     10 |
        676 |     10 |        |        |        |      9 |      9
        687 |      8 |        |     10 |        |      9 |
        908 |      9 |        |     10 |        |      9 |
        920 |      7 |      3 |     10 |        |      9 |      9
       1137 |      9 |      4 |     10 |        |      9 |      9
       1870 |      9 |      2 |     10 |        |      9 |      9
       1910 |     10 |        |     10 |        |      9 |
       1957 |      6 |        |        |        |      9 |      9
       1977 |      6 |        |     10 |        |      9 |
       2578 |      9 |      3 |     10 |        |      9 |      9
       2609 |      6 |      6 |        |        |      9 |      9
       6595 |      9 |      1 |     10 |        |      9 |      9
      17391 |      9 |      5 |     10 |        |      9 |      9
      19924 |     15 |     12 |     12 |        |     10 |      9
      38526 |      4 |      6 |     10 |        |      9 |      9
     104178 |      3 |        |     10 |        |      9 |      9
     145762 |     15 |        |        |        |     10 |      9
     556142 |      5 |      6 |     10 |        |      9 |      9
    1233696 |     15 |        |     12 |        |     10 |      9
    1821136 |     10 |      6 |     10 |        |      9 |      9
    1911831 |      8 |      6 |     10 |        |      9 |      9
    2090064 |     15 |     12 |        |        |     10 |      9
    3586509 |      7 |      6 |     10 |        |      9 |      9
    7580465 |      6 |      6 |     10 |        |      9 |      9
   35141169 |      9 |      6 |     10 |        |      9 |      9
   36966384 |      4 |        |     10 |        |      9 |      9
  326556833 |      5 |        |     10 |        |      9 |      9
  892285822 |      8 |        |     10 |        |      9 |      9
 1889837979 |      7 |        |     10 |        |      9 |      9
 2766789596 |      9 |        |     10 |        |      9 |      9
 2854882998 |     10 |        |     10 |        |      9 |      9
 2968343366 |      6 |        |     10 |        |      9 |      9
(118 rows)

Time: 13075721.743 ms
