"CPT Code","Description"
"4320F","Patient counseled regarding psychosocial and pharmacologic treatment options for alcohol dependence"
"H0005","Alcohol and/or drug services; Group counseling by a clinician"
"H0006","Alcohol and/or drug services; case management"
"H0007","Alcohol and/or drug services; crisis intervention (outpatient)"
"H0008","Alcohol and/or drug services; sub-acute detox (hospital inpatient)"
"H0009","Alcohol and/or drug services; Acute detox (hospital inpatient)"
"H0010","Alcohol and/or drug services; Sub-acute detox (residential addiction program inpatient)"
"H0011","Alcohol and/or drug services; acute detox (residential addiction program inpatient)"
"H0012","Alcohol and/or drug services; Sub-acute detox (residential addiction program outpatient)"
"H0013","Alcohol and/or drug services; acute detox (residential addiction program outpatient)"
"H0014","Alcohol and/or drug services; ambulatory detox"
"H0015","Alcohol and/or drug services; intensive outpatient"
"H0050","Alcohol and/or Drug Service, Brief Intervention, per 15 minutes"
"99408","Alcohol and substance (other than tobacco) abuse structure screening (e.g., AUDIT, DAST) and brief intervention (SBI) services; 15-30 minutes"
"99409","Alcohol and substance (other than tobacco) abuse structure screening (e.g., AUDIT, DAST) and brief intervention (SBI) services; Greater than 30 minutes"
"H0034","Alcohol and/or drug abuse halfway house services, per diem"
"H0047","Alcohol and/or Drug abuse services, not otherwise specified"
"H2035","Alcohol and/or drug treatment program, per hour"
"H2036","Alcohol and/or drug treatment program, per diem"
"H0020","Alcohol and/or drug services; methadone administration and/or service (provisions of the drug by a licensed program)"
"S9475","Ambulatory Setting substance abuse treatment or detoxification services per diem"
"T1006","Alcohol and/or substance abuse services, family/couple counseling"
"T1007","Alcohol and/or substance abuse services, treatment plan development and or modification"
"T1008","Day Treatment for individual alcohol and/or substance abuse services"
"T1009","Child sitting services for children of individuals receiving alcohol and/or substance abuse services"
"T1010","Meals for individuals receiving alcohol and/or substance abuse services (when meals are not included in the program"
"T1011","Alcohol and/or substance abuse services not otherwise classified"
"T1012","Alcohol and/or substance abuse services, skill development"
