"ICD-10-CM Diagnosis Code","Description"
"F10.10","Alcohol abuse, uncomplicated"
"F10.14","Alcohol abuse with alcohol-induced mood disorder"
"F10.19","Alcohol abuse with unspecified alcohol-induced disorder"
"F10.20","Alcohol dependence, uncomplicated"
"F10.21","Alcohol dependence, in remission"
"F10.24","Alcohol dependence with alcohol-induced mood disorder"
"F10.26","Alcohol dependence with alcohol-induced persisting amnestic disorder"
"F10.27","Alcohol dependence with alcohol-induced persisting dementia"
"F10.29","Alcohol dependence with unspecified alcohol-induced disorder"
"F10.94","Alcohol use, unspecified with alcohol-induced mood disorder"
"F10.96","Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
"F10.97","Alcohol use, unspecified with alcohol-induced persisting dementia"
"F10.99","Alcohol use, unspecified with unspecified alcohol-induced disorder"
"F10.120","Alcohol abuse with intoxication, uncomplicated"
"F10.121","Alcohol abuse with intoxication delirium"
"F10.129","Alcohol abuse with intoxication, unspecified"
"F10.150","Alcohol abuse with alcohol-induced psychotic disorder with delusions"
"F10.151","Alcohol abuse with alcohol-induced psychotic disorder with hallucinations"
"F10.159","Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
"F10.180","Alcohol abuse with alcohol-induced anxiety disorder"
"F10.181","Alcohol abuse with alcohol-induced sexual dysfunction"
"F10.182","Alcohol abuse with alcohol-induced sleep disorder"
"F10.188","Alcohol abuse with other alcohol-induced disorder"
"F10.220","Alcohol dependence with intoxication, uncomplicated"
"F10.221","Alcohol dependence with intoxication delirium"
"F10.229","Alcohol dependence with intoxication, unspecified"
"F10.230","Alcohol dependence with withdrawal, uncomplicated"
"F10.231","Alcohol dependence with withdrawal delirium"
"F10.232","Alcohol dependence with withdrawal with perceptual disturbance"
"F10.239","Alcohol dependence with withdrawal, unspecified"
"F10.250","Alcohol dependence with alcohol-induced psychotic disorder with delusions"
"F10.251","Alcohol dependence with alcohol-induced psychotic disorder with hallucinations"
"F10.259","Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
"F10.280","Alcohol dependence with alcohol-induced anxiety disorder"
"F10.281","Alcohol dependence with alcohol-induced sexual dysfunction"
"F10.282","Alcohol dependence with alcohol-induced sleep disorder"
"F10.288","Alcohol dependence with other alcohol-induced disorder"
"F10.920","Alcohol use, unspecified with intoxication, uncomplicated"
"F10.921","Alcohol use, unspecified with intoxication delirium"
"F10.929","Alcohol use, unspecified with intoxication, unspecified"
"F10.950","Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions"
"F10.951","Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations"
"F10.959","Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified"
"F10.980","Alcohol use, unspecified with alcohol-induced anxiety disorder"
"F10.981","Alcohol use, unspecified with alcohol-induced sexual dysfunction"
"F10.982","Alcohol use, unspecified with alcohol-induced sleep disorder"
"F10.988","Alcohol use, unspecified with other alcohol-induced disorder"
"F11.10","Opioid abuse, uncomplicated"
"F11.14","Opioid abuse with opioid-induced mood disorder"
"F11.19","Opioid abuse with unspecified opioid-induced disorder"
"F11.20","Opioid dependence, uncomplicated"
"F11.21","Opioid dependence, in remission"
"F11.23","Opioid dependence with withdrawal"
"F11.24","Opioid dependence with opioid-induced mood disorder"
"F11.29","Opioid dependence with unspecified opioid-induced disorder"
"F11.90","Opioid use, unspecified, uncomplicated"
"F11.93","Opioid use, unspecified with withdrawal"
"F11.94","Opioid use, unspecified with opioid-induced mood disorder"
