"ICD-10-PCS Code","Description"
"HZ2ZZZZ","Detoxification Services for Substance Abuse Treatment"
"HZ30ZZZ","Individual Counseling for Substance Abuse Treatment, Cognitive"
"HZ31ZZZ","Individual Counseling for Substance Abuse Treatment, Behavioral"
"HZ32ZZZ","Individual Counseling for Substance Abuse Treatment, Cognitive-Behavioral"
"HZ33ZZZ","Individual Counseling for Substance Abuse Treatment, 12-Step"
"HZ34ZZZ","Individual Counseling for Substance Abuse Treatment, Interpersonal"
"HZ35ZZZ","Individual Counseling for Substance Abuse Treatment, Vocational"
"HZ36ZZZ","Individual Counseling for Substance Abuse Treatment, Psychoeducational"
"HZ37ZZZ","Individual Counseling for Substance Abuse Treatment, Motivational Enhancement"
"HZ38ZZZ","Individual Counseling for Substance Abuse Treatment, Confrontational"
"HZ39ZZZ","Individual Counseling for Substance Abuse Treatment, Continuing Care"
"HZ3BZZZ","Individual Counseling for Substance Abuse Treatment, Spiritual"
"HZ40ZZZ","Group Counseling for Substance Abuse Treatment, Cognitive"
"HZ41ZZZ","Group Counseling for Substance Abuse Treatment, Behavioral"
"HZ42ZZZ","Group Counseling for Substance Abuse Treatment, Cognitive-Behavioral"
"HZ43ZZZ","Group Counseling for Substance Abuse Treatment, 12-Step"
"HZ44ZZZ","Group Counseling for Substance Abuse Treatment, Interpersonal"
"HZ45ZZZ","Group Counseling for Substance Abuse Treatment, Vocational"
"HZ46ZZZ","Group Counseling for Substance Abuse Treatment, Psychoeducation"
"HZ47ZZZ","Group Counseling for Substance Abuse Treatment, Motivational Enhancement"
"HZ48ZZZ","Group Counseling for Substance Abuse Treatment, Confrontational"
"HZ49ZZZ","Group Counseling for Substance Abuse Treatment, Continuing Care"
"HZ4BZZZ","Group Counseling for Substance Abuse Treatment, Spiritual"
"HZ50ZZZ","Individual Psychotherapy for Substance Abuse Treatment, Cognitive"
"HZ51ZZZ","Individual Psychotherapy for Substance Abuse Treatment, Behavioral"
"HZ52ZZZ","Individual Psychotherapy for Substance Abuse Treatment, Cognitive-Behavioral"
"HZ53ZZZ","Individual Psychotherapy for Substance Abuse Treatment, 12-Step"
"HZ54ZZZ","Individual Psychotherapy for Substance Abuse Treatment, Interpersonal"
"HZ55ZZZ","Individual Psychotherapy for Substance Abuse Treatment, Interactive"
"HZ56ZZZ","Individual Psychotherapy for Substance Abuse Treatment, Psychoeducation"
"HZ57ZZZ","Individual Psychotherapy for Substance Abuse Treatment, Motivational Enhancement"
"HZ58ZZZ","Individual Psychotherapy for Substance Abuse Treatment, Confrontational"
"HZ59ZZZ","Individual Psychotherapy for Substance Abuse Treatment, Supportive"
"HZ5BZZZ","Individual Psychotherapy for Substance Abuse Treatment, Psychoanalysis"
"HZ5CZZZ","Individual Psychotherapy for Substance Abuse Treatment, Psychodynamic"
"HZ5DZZZ","Individual Psychotherapy for Substance Abuse Treatment, Psychophysiological"
"HZ63ZZZ","Family Counseling for Substance Abuse Treatment"
"HZ80ZZZ","Medication Management for Substance Abuse Treatment, Nicotine Replacement"
"HZ81ZZZ","Medication Management for Substance Abuse Treatment, Methadone Maintenance"
"HZ82ZZZ","Medication Management for Substance Abuse Treatment, Levo-alpha-acetyl-methadol (LAAM)"
"HZ83ZZZ","Medication Management for Substance Abuse Treatment, Antabuse"
"HZ84ZZZ","Medication Management for Substance Abuse Treatment, Naltrexone"
"HZ85ZZZ","Medication Management for Substance Abuse Treatment, Naloxone"
"HZ86ZZZ","Medication Management for Substance Abuse Treatment, Clonidine"
"HZ87ZZZ","Medication Management for Substance Abuse Treatment, Bupropion"
"HZ88ZZZ","Medication Management for Substance Abuse Treatment, Psychiatric Medication"
"HZ89ZZZ","Medication Management for Substance Abuse Treatment, Other Replacement Medication"
"HZ90ZZZ","Pharmacotherapy for Substance Abuse Treatment, Nicotine Replacement"
"HZ91ZZZ","Pharmacotherapy for Substance Abuse Treatment, Methadone Maintenance"
"HZ92ZZZ","Pharmacotherapy for Substance Abuse Treatment, Levo-alpha-acetyl-methadol (LAAM)"
"HZ93ZZZ","Pharmacotherapy for Substance Abuse Treatment, Antabuse"
"HZ94ZZZ","Pharmacotherapy for Substance Abuse Treatment, Naltrexone"
"HZ95ZZZ","Pharmacotherapy for Substance Abuse Treatment, Naloxone"
"HZ96ZZZ","Pharmacotherapy for Substance Abuse Treatment, Clonidine"
"HZ97ZZZ","Pharmacotherapy for Substance Abuse Treatment, Bupropion"
"HZ98ZZZ","Pharmacotherapy for Substance Abuse Treatment, Psychiatric Medication"
"HZ99ZZZ","Pharmacotherapy for Substance Abuse Treatment, Other Replacement Medication"
