value,description
2,ALASKA
4,ARKANSAS
6,"LOS ANGELES, CA"
8,"OAKLAND/BERKELEY, CA"
10,"SAN FRANCISCO, CA"
12,"SANTA CLARA, CA"
14,COLORADO
16,DC + MD/VA SUBURBS
18,"FORT LAUDERDALE, FL"
20,REST OF FLORIDA
22,REST OF GEORGIA
24,IDAHO
26,"EAST ST. LOUIS, IL"
28,"SUBURBAN CHICAGO, IL"
30,IOWA
32,KENTUCKY
34,REST OF LOUISIANA
36,SOUTHERN MAINE
38,REST OF MARYLAND
40,REST OF MASSACHUSETTS
42,REST OF MICHIGAN
44,MISSISSIPPI
46,"METROPOLITAN ST. LOUIS, MO"
48,MONTANA
50,NEVADA
52,NORTHERN NJ
54,NEW MEXICO
56,"NYC SUBURBS/LONG I., NY"
58,"QUEENS, NY"
60,NORTH CAROLINA
62,OHIO
64,"PORTLAND, OR"
66,"METROPOLITAN PHILADELPHIA, PA"
68,PUERTO RICO
70,SOUTH CAROLINA
72,TENNESSEE
74,"BEAUMONT, TX"
76,"DALLAS, TX"
78,"GALVESTON, TX"
80,REST OF TEXAS
82,VERMONT
84,VIRGINIA
86,"SEATTLE (KING CNTY), WA"
88,WISCONSIN 89 WYOMING
