value,description
00511,Georgia - CAHABA
00520,Arkansas BC/BS
00522,Oklahoma - Arkansas BC/BS (term. 2008) (replaced by MAC #04302)
00524,Rhode Island - Arkansas BC/BS (eff. 2004)
00590,Florida - First Coast
00630,Indiana - Administar
00640,"Iowa - Wellmark, Inc."
00650,Kansas BCBS (term. 2008) (replaced by MAC #05202)
00660,Kentucky - Administar
00751,Montana BC/BS (replaced by MAC # 03202)
00803,New York - Empire BS
00811,DMERC (A) - Healthnow (eff. 2000) (replaced by MAC #16003)
00823,Utah - Noridian (eff. 12/1/2005) (replaced by MAC #03502)
00825,Wyoming - Noridian (replaced by MAC #03602)
00831,Alaska - Noridian
00833,Hawaii - Noridian
00835,Oregon - Noridian
00865,Pennsylvania - Highmark
00880,South Carolina - Palmetto
00883,Ohio - Palmetto (eff. 2002)
00885,DMERC C - Palmetto (replaced by MAC #18003)
00900,Texas - Trailblazer (term. 2008) (replaced by MAC # 04402)
00902,Delaware - Trailblazer
00904,Virginia - Trailblazer (eff. 2000)
00951,Wisconsin - Wisconsin Phy Svc
00953,Michigan - Wisconsin Phy Svc
00973,"Puerto Rico - Triple S, Inc."
02050,California - TOLIC (term. 2000)
05302,Western Missouri (eff. 3/2008)
05535,North Carolina - CIGNA
10071,Railroad Board Travelers (term. 2000)
10240,Minnesota - Metra Health (term. 2000)
10490,Virginia - Metra Health (term. 2000)
14330,New York - GHI
16510,West Virginia - Nationwide Insur Co. (term. 2002)
31142,Maine - National Heritage Ins.
31144,New Hampshire - National Heritage Ins.
31146,So. California - NHIC (eff. 2000)
03102,Arizona (eff. 12/1/06) (replaces carrier #00832)
03302,N. Dakota (eff. 12/1/06) (replaces carrier #00820)
03502,Utah (eff. 12/1/06) (replaces carrier #00823)
04102,Colorado (eff. 3/24/08) (replaces carrier #00824)
04302,Oklahoma (eff. 3/1/08) (replaces carrier #00522)
05102,Iowa (eff.2/1/08) (replaces carrier #00826)
05302,W. Missouri (eff. 3/1/08) (replaces carrier #00651 or 00740)
05402,Nebraska (eff. 3/1/08) (replaces carrier #00655) Durable Medical Equipment (DME) MACs
17003,"Administar Federal, Inc. (eff. 7/1/06) (replaces carrier # 00635)"
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
