value,description
01,Alabama
03,Arizona
05,California
07,Connecticut
09,District of Columbia
11,Georgia
13,Idaho
15,Indiana
17,Kansas
19,Louisiana
21,Maryland
23,Michigan
25,Mississippi
27,Montana
29,Nevada
31,New Jersey
33,New York
35,North Dakota
37,Oklahoma
39,Pennsylvania
41,Rhode Island
43,South Dakota
45,Texas
47,Vermont
49,Virginia
51,West Virginia
53,Wyoming
55,California
57,Central America and West Indies
59,Mexico
61,Philippines
63,U.S. Possessions
65,Guam
67,Texas
69,Florida (eff. 10/2005)
71,Louisiana (eff. 10/2005)
73,Pennsylvania (eff. 10/2005)
80,Maryland (eff. 8/2000)
98,Guam
