value,description
0022,SNF claim paid under PPS submitted as type of bill (TOB) 21X. NOTE: This code may appear multiple times on a claim to identify different HIPPS Rate Code/assessment periods.
0024,"Inpatient Rehabilitation Facility services paid under PPS submitted as TOB 11X, effective for cost reporting periods beginning on or after 1/1/2002 (dates of service after 12/31/01). This code may appear only once on a claim."
0101,All-inclusive rate - room and board
0111,Private medical or general-medical/surgical/GYN
0113,Private medical or general-pediatric
0115,Private medical or general-hospice
0117,Private medical or general-oncology
0119,Private medical or general-other
0121,Semi-private 2 bed (medical or general) medical/surgical/GYN
0123,Semi-private 2 bed (medical or general)-pediatric
0125,Semi-private 2 bed (medical or general)-hospice
0127,Semi-private 2 bed (medical or general)-oncology
0129,Semi-private 2 bed (medical or general)-other
0131,Semi-private 3 and 4 beds-medical/surgical/GYN
0133,Semi-private 3 and 4 beds-pediatric
0135,Semi-private 3 and 4 beds-hospice
0137,Semi-private 3 and 4 beds-oncology
0139,Semi-private 3 and 4 beds-other
0141,Private (deluxe)-medical/surgical/GYN
0143,Private (deluxe)-pediatric
0145,Private (deluxe)-hospice
0147,Private (deluxe)-oncology
0149,Private (deluxe)-other
0151,Room & Board ward (medical or general)-medical/surgical/GYN
0153,Room & Board ward (medical or general)-pediatric
0155,Room & Board ward (medical or general)-hospice
0157,Room & Board ward (medical or general)-oncology
0159,Room & Board ward (medical or general)-other
0164,Other Room & Board-sterile environment
0169,Other Room & Board-other
0171,Nursery-newborn level I (routine)
0173,Nursery-newborn-level III (intermediate care)
0179,Nursery-other
0182,Leave of absence-patient convenience charges billable
0184,Leave of absence-ICF mentally retarded-any reason
0189,Leave of absence-other leave of absence
0191,Subacute care - level I
0193,Subacute care - level III
0199,Subacute care - other
0201,Intensive care-surgical
0203,Intensive care-pediatric
0206,Intensive care-post ICU; redefined as intermediate ICU
0208,Intensive care-trauma
0210,Coronary care-general classification
0212,Coronary care-pulmonary care
0214,Coronary care-post CCU; redefined as intermediate CCU
0220,Special charges-general classification
0222,Special charges-technical support charge
0224,"Special charges-late discharge, medically necessary"
0230,Incremental nursing charge rate-general classification
0232,Incremental nursing charge rate-OB
0234,Incremental nursing charge rate-CCU (include transitional care)
0239,Incremental nursing charge rate-other
0241,All-inclusive ancillary-basic
0243,All-inclusive ancillary-specialty
0250,Pharmacy-general classification
0252,Pharmacy-nongeneric drugs
0254,Pharmacy-drugs incident to other diagnostic service-subject to payment limit
0256,Pharmacy-experimental drugs
0258,Pharmacy-IV solutions
0260,IV therapy-general classification
0262,IV therapy-pharmacy services
0264,IV therapy-supplies
0270,Medical/surgical supplies-general classification (also see 062X)
0272,Medical/surgical supplies-sterile supply
0274,Medical/surgical supplies-prosthetic/orthotic devices
0276,Medical/surgical supplies-intraocular lens
0278,Medical/surgical supplies-other implants
0280,Oncology-general classification
0290,DME (other than renal)-general classification
0292,DME (other than renal)-purchase of new DME
0294,DME (other than renal)-related to and listed as DME
0300,Laboratory-general classification
0302,Laboratory-immunology
0304,Laboratory-non-routine dialysis
0306,Laboratory-bacteriology & microbiology
0309,Laboratory-other laboratory
0311,Laboratory pathological-cytology
0314,Laboratory pathological-biopsy
0320,Radiology diagnostic-general classification
0322,Radiology diagnostic-arthrography
0324,Radiology diagnostic-chest X-ray
0330,Radiology therapeutic-general classification
0332,Radiology therapeutic-chemotherapy oral
0335,Radiology therapeutic-chemotherapy IV
0340,Nuclear medicine-general classification
0342,Nuclear medicine-therapeutic
0350,Computed tomographic (CT) scan-general classification
0352,CT scan-body scan
0360,Operating room services-general classification
0362,"Operating room services-organ transplant, other than kidney"
0369,Operating room services-other operating room services
0371,Anesthesia-incident to RAD and subject to the payment limit
0374,Anesthesia-acupuncture
0380,Blood-general classification
0382,Blood-whole blood
0384,Blood-platelets
0386,Blood-other components
0389,Blood-other blood
0391,Blood storage and processing-blood administration
0400,Other imaging services-general classification
0402,Other imaging services-ultrasound
0404,Other imaging services-positron emission tomography
0410,Respiratory services-general classification
