value,description
0001,Photochemotherapy
0003,Bone Marrow Biopsy/Aspiration
0005,Level II Needle Biopsy /Aspiration Except Bone Marrow
0007,Level II Incision & Drainage
0009,Nail Procedures
0011,Level II Destruction of Lesion
0013,Level II Debridement & Destruction
0015,Level IV Debridement & Destruction
0017,Level VI Debridement & Destruction
0019,Level I Excision/ Biopsy
0021,Level III Excision/ Biopsy
0023,Exploration Penetrating Wound
0025,Level II Skin Repair
0027,Level IV Skin Repair
0029,Incision/Excision Breast (obsolete 12/00); Level II Incision/Excision Breast Effective 1/01)
0031,Hyperbaric Oxygen (obsolete 1/01)
0033,Partial Hospitalization
0041,Arthroscopy
0043,Closed Treatment Fracture Finger/Toe/Trunk
0045,Bone/Joint Manipulation Under Anesthesia
0047,Arthroplasty without Prosthesis
0049,Level I Musculoskeletal Procedures Except Hand and Foot
0051,Level III Musculoskeletal Procedures Except Hand and Foot
0053,Level I Hand Musculoskeletal Procedures
0055,Level I Foot Musculoskeletal Procedures
0057,Bunion Procedures
0059,Level II Strapping and Cast Application
0070,Thoracentesis/Lavage Procedures
0072,Level II Endoscopy Upper Airway
0074,Level IV Endoscopy Upper Airway
0076,Endoscopy Lower Airway
0078,Level II Pulmonary Treatment
0080,Diagnostic Cardiac Catheterization
0082,Coronary Atherectomy
0084,Level I Electrophysiologic Evaluation
0086,Ablate Heart Dysrhythm Focus
0088,Thrombectomy
0090,Level II Implantation/Removal/Revision of Pacemaker AICD Vascular Device (obsolete 12/00); Insertion/Replacement of Permanent Pacemaker and Pulse Generator
0092,Level II Vascular Ligation
0094,Resuscitation and Cardioversion
0096,Non-Invasive Vascular Studies
0098,Injection of Sclerosing Solution
0100,Stress test and continuous ECG
0102,Electronic Analysis of Pacemakers/other Devices
0104,Transcatheter Placement of Intracoronary Stents (eff. 1/01)
0106,Insertion/Replacement/Repair of Pacemaker Electrode (eff. 1/01)
0108,Insertion/Replacement/Repair of Cardioverter-Defibrillator Leads (eff. 1/01)
0110,Transfusion
0112,Extracorporeal Photopheresis
0114,Thyroid/Lymphadenectomy Procedures
0116,Chemotherapy Administration by Other Technique Except Infusion
0118,Chemotherapy Administration by Both Infusion and Other Technique
0120,Infusion Therapy Except Chemotherapy
0122,Level II Tube changes and Repositioning
0124,Revision of Implanted Infusion Pump (eff. 1/01)
0131,Level II Laparoscopy
0140,Esophageal Dilation without Endoscopy
0142,Small Intestine Endoscopy
0144,Diagnostic Anoscopy
0146,Level I Sigmoidoscopy
0148,Level I Anal/Rectal Procedure
0150,Level III Anal/Rectal Procedure
0152,Percutaneous Biliary Endoscopic Procedures
0154,Hernia/Hydrocele Procedures
0158,Colorectal Cancer Screening: Colonoscopy Not subject to National coinsurance. Minimum unadjusted coinsurance is 25% of the payment rate. Payment rate is lower of the HOPD payment rate or the Ambulatory Surgical Center payment.
0160,Level I Cystourethroscopy and other Genitourinary Procedures
0162,Level III Cystourethroscopy and other Genitourinary Procedures
0164,Level I Urinary and Anal Procedures
0166,Level I Urethral Procedures
0168,Level III Urethral Procedures
0170,Dialysis for Other Than ESRD Patients
0181,Penile Procedures
0183,Testes/Epididymis Procedures
0190,Surgical Hysteroscopy
0192,Level II Female RePRODuctive Procedures
0194,Level IV Female RePRODuctive Procedures
0196,Dilatation & Curettage
0198,Pregnancy and Neonatal Care Procedures
0200,Therapeutic Abortion
0210,Spinal Tap
0212,Level II Nervous System Injections
0214,Electroencephalogram
0216,Level II Nerve and Muscle Tests
0220,Level I Nerve Procedures
0222,Implantation of Neurological Device
0224,Level II Revision/Removal Neurological Device (obsolete 12/00); Implantation of Reservoir/Pump/Shunt (eff. 1/01)
0226,Implantation of Drug Infusion Reservior (eff. 1/01)
0228,Creation of Lumbar Subarachnoid Shunt (eff. 1/01)
0230,Level I Eye Tests
0232,Level I Anterior Segment Eye
0234,Level III Anterior Segment Eye Procedures
0236,Level II Posterior Segment Eye Procedures
0238,Level I Repair and Plastic Eye Procedures
0240,Level III Repair and Plastic Eye Procedures
0242,Level V Repair and Plastic Eye Procedures
0244,Corneal Transplant
0246,Cataract Procedures with IOL Insert
0248,Laser Retinal Procedures
0251,Level I ENT Procedures
0253,Level III ENT Procedures
0256,Level V ENT Procedures
0258,Tonsil and Adenoid Procedures
0261,Level II Plain Film Except Teeth Including Bone Density Measurement
0263,Level I Miscellaneous Radiology Procedures
0265,Level I Diagnostic Ultrasound Except Vascular
0267,Vascular Ultrasound
0269,Echocardiogram Except Transesophageal
0271,Mammography
0273,Level II Fluoroscopy
0275,Arthrography
0277,Level II Digestive Radiology
0279,Level I Diagnostic Angiography and Venography Except Extremity
0281,Venography of Extremity
0283,Level II Computerized Axial Tomography
0285,Positron Emission Tomography (PET)
0290,Standard Non-Imaging Nuclear Medicine
0292,Level II Diagnostic Nuclear Medicine Excluding Myocardial Scans
0295,Level II Therapeutic Nuclear Medicine
0297,Level II Therapeutic Radiologic Procedures
0301,Level II Radiation Therapy
0303,Treatment Device Construction
0305,Level II Therapeutic Radiation Treatment Preparation
0311,Radiation Physics Services
0313,Brachytherapy
0320,Electroconvulsive Therapy
0322,Brief Individual Psychotherapy
0324,Family Psychotherapy
0330,Dental Procedures
0341,Immunology Tests
0343,Level II Pathology
0345,Transfusion Laboratory Procedures Level I (eff. 1/01)
0347,Transfusion Laboratory Procedures Level III (eff. 1/01)
0349,Miscellaneous Laboratory Procedures (eff. 1/01)
0355,Level I Immunizations
0357,Level III Immunizations (obsolete 1/01)
0359,Injections
0361,Level II Alimentary Tests
0363,Otorhinolaryngologic Function Tests
0365,Level II Audiometry
0367,Level I Pulmonary Test
0369,Level III Pulmonary Test
0371,Allergy Injections
0373,Neuropsychological Testing
0600,Low Level Clinic Visits
0602,High Level Clinic Visits
0610,Low Level Emergency Visits
0612,High Level Emergency Visits
0701,"Strontium (eligible for pass-through payments) (obsolete 12/00); SR 89 chloride, per mCi (eff. 1/01)"
0704,IN 111 Satumomab Pendetide (eligible for pass-through payments)
0725,Leucovorin Calcium (eligible for pass-through payments)
0727,"Injection, Etidronate Disodium (eligible for pass-through payments)"
0730,Pamidronate Disodium (eligible for pass-through payments)
0732,Mesna (eligible for pass-through payments)
0750,Dolasetron Mesylate 10 mg (eligible for pass-through payments)
0755,Thiethylperazine Maleate (eligible for pass-through payments)
0762,Dronabinol (elibible for pass-through payments)
0764,"Granisetron HCL, 100 mcg (eligible for pass-through payments)"
0768,Ondansetron Hydrochloride per 1 mg Injection (eligible for pass-through payments)
0800,Leuprolide Acetate per 3.75 mg (eligible for pass-through payments)
0802,Etoposide (eligible for pass-through payments)
0807,Aldesleukin single use vial (eligible for pass-through payments)
0810,"Goserelin Acetate Implant, per 3.6 mg (eligible for pass-through payments)"
0812,Carmustine 100 mg (eligible for pass-through payments)
0814,"Asparaginase, 10,000 units (eligible for pass-through payments)"
0816,"Cyclophosphamide, Lyophilized 100 mg (eligible for pass-through payments)"
0818,Dactinomycin 0.5 mg (eligible for pass-through payments)
0820,Daunorubicin HCI 10 mg (eligible for pass-through payments)
0822,Diethylstibestrol Diphosphate 250 mg (eligible for pass-through payments)
0824,Etoposide 10 mg (eligible for pass-through payments)
0827,Floxuridine injection 500mg
0830,Irinotecan 20 mg (eligible for pass-through payments)
0832,Idarubicin HCL injection 5 mg (eligible for pass-through payments)
