value,description
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
C3,Interventional cardiology
