value,description
02,Alaska
04,Arkansas
06,Colorado
08,Delaware
10,Florida
12,Hawaii
14,Illinois
16,Iowa
18,Kentucky
20,Maine
22,Massachusetts
24,Minnesota
26,Missouri
28,Nebraska
30,New Hampshire
32,New Mexico
34,North Carolina
36,Ohio
38,Oregon
40,Puerto Rico
42,South Carolina
44,Tennessee
46,Utah
48,Virgin Islands
50,Washington
52,Wisconsin
54,Africa
56,Canada & Islands
58,Europe
60,Oceania
62,South America
64,American Samoa
66,Commonwealth of the Northern Marianas Islands
68,Florida (eff. 10/2005)
70,Kansas (eff. 10/2005)
72,Ohio (eff. 10/2005)
74,Texas (eff. 10/2005)
97,Northern Marianas
99,With 000 county code is American Samoa; otherwise unknown
