value,description
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
43,MSP cost avoided - Medicare Part C/Medicare Advantage
