value,description
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
19003,Noridan Administrative Services (eff. 10/1/06) (replaces carrier #05655)
