value,description
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
98,Claim through date before 4/1/2005 or not numeric
