value,description
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
WR,Disabled surviving divorced husband 1st claimant
