value,description
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
77,Shared Savings Program (eff. 10/2016)
