value,description
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
99,With 000 county code is American Samoa; otherwise unknown
