value,description
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
99,Other Place of Service. Other place of service not identified above.
