value,description
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
W1,Workers Compensation State Fee Schedule Adjustment.
