value,description
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
9505,"RBC, irradiated, ea unit (eff. 1/01)"
