value,description
X,Unclassified drug as subject to manual pricing.
X,Unclassified drug as subject to manual pricing.
X,Unclassified drug as subject to manual pricing.
X,Unclassified drug as subject to manual pricing.
X,Unclassified drug as subject to manual pricing.
X,Unclassified drug as subject to manual pricing.
X,Unclassified drug as subject to manual pricing.
X,Unclassified drug as subject to manual pricing.
X,Unclassified drug as subject to manual pricing.
X,Unclassified drug as subject to manual pricing.
