value,description
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
99,American Samoa
