Element ID,Name,Description,Applies To,Data Type,Data Size,R4 Resource,R4 Element,R4 FhirPath,R4 Discriminator,R4 Example,R4 Additional,R4 Derived,R4 Notes,CCW Mapping,CCLF Mapping,BFD Table Type,BFD Column Name,BFD Java Field Name,AB2D,BB2,BCDA,BFD,DPC,Synthetic Data
1,Adjustment Deletion Code,This field distinguishes original from adjusted or deleted PDE records so CMS can adjust claims and make accurate payment for revised PDE records.,PDE,CHAR,1,ExplanationOfBenefit,supportingInfo[N].code.coding[N].code,supportingInfo.where(code.coding.system='https://bluebutton.cms.gov/resources/variables/adjstmt_dltn_cd').code.coding.code,supportingInfo[N].code.coding[N].system = 'https://bluebutton.cms.gov/resources/variables/adjstmt_dltn_cd',"[\n  {\n    ""sequence"": 7,\n    ""category"": {\n      ""coding"": [\n        {\n          ""system"": ""http://terminology.hl7.org/CodeSystem/claiminformationcategory"",\n          ""code"": ""info"",\n          ""display"": ""Information""\n        },\n        {\n          ""system"": ""https://bluebutton.cms.gov/resources/codesystem/information"",\n          ""code"": ""https://bluebutton.cms.gov/resources/variables/adjstmt_dltn_cd"",\n          ""display"": ""Adjustment Deletion Code""\n        }\n      ]\n    },\n    ""code"": {\n      ""coding"": [\n        {\n          ""system"": ""https://bluebutton.cms.gov/resources/variables/adjstmt_dltn_cd"",\n          ""code"": ""A"",\n          ""display"": ""Adjustment""\n        }\n      ]\n    }\n  }\n]",eob.supportingInfo[N].category.coding[N].system = 'http://terminology.hl7.org/CodeSystem/claiminformationcategory';eob.supportingInfo[N].category.coding[N].code = 'info';eob.supportingInfo[N].category.coding[N].display = 'Information';eob.supportingInfo[N].category.coding[N].system = 'https://bluebutton.cms.gov/resources/codesystem/information';eob.supportingInfo[N].category.coding[N].code = 'https://bluebutton.cms.gov/resources/variables/adjstmt_dltn_cd';eob.supportingInfo[N].category.coding[N].display = 'Adjustment Deletion Code';eob.supportingInfo[N].code.coding[N].display = {corresponding description from valueset specified in .system};,,,ADJSTMT_DLTN_CD,,CLAIM,adjstmt_dltn_cd,adjustmentDeletionCode,,X,,X,X,
2,Admitting Diagnosis Code,A diagnosis code on the institutional claim indicating the beneficiary's initial diagnosis at admission.,Inpatient;SNF,CHAR,7,ExplanationOfBenefit,diagnosis[N].diagnosisCodeableConcept.coding[N].code,diagnosis.where(type.coding.code='admitting').diagnosisCodeableConcept.coding.where(system='http://hl7.org/fhir/sid/icd-10-cm').code,diagnosis[N].type[N].coding[N].system = 'http://terminology.hl7.org/CodeSystem/ex-diagnosistype';diagnosis[N].type[N].coding[N].code = 'admitting',"[\n  {\n    ""system"": ""http://hl7.org/fhir/sid/icd-10-cm"",\n    ""code"": ""A37"",\n    ""display"": ""WHOOPING COUGH""\n  }\n]",eob.diagnosis[N].sequence = # selected by the code depending upon order of diagnosis;eob.diagnosis[N].diagnosisCodeableConcept.coding[N].system = 'http://hl7.org/fhir/sid/icd-9-cm';eob.diagnosis[N].diagnosisCodeableConcept.coding[N].system = 'http://hl7.org/fhir/sid/icd-10-cm';eob.diagnosis[N].diagnosisCodeableConcept.coding[N].system = 'http://hl7.org/fhir/sid/icd-10';eob.diagnosis[N].type[N].coding[N].display = 'Admitting Diagnosis';eob.diagnosis[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/clm_poa_ind_sw1';eob.diagnosis[N].extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/clm_poa_ind_sw1';eob.diagnosis[N].extension[N].valueCoding.code = 'Y';eob.diagnosis[N].extension[N].valueCoding.display = 'Diagnosis was present at the time of admission (POA)',,,ADMTG_DGNS_CD,CCLF1.ADMTG_DGNS_CD,CLAIM,admtg_dgns_cd,diagnosisAdmittingCode,X,X,,X,X,X
3,Admitting Diagnosis Code Version,"Effective with Version ‘J,’ the code used to indicate if the diagnosis code is ICD-9/ICD-10.",Inpatient;SNF,CHAR,1,ExplanationOfBenefit,diagnosis[N].diagnosisCodeableConcept.coding[N].system,diagnosis.where(type.coding.code='admitting').diagnosisCodeableConcept.coding.where(system='http://hl7.org/fhir/sid/icd-10-cm').system,diagnosis[N].type[N].coding[N].system = 'http://terminology.hl7.org/CodeSystem/ex-diagnosistype';diagnosis[N].type[N].coding[N].code = 'admitting',"[\n  {\n    ""system"": ""http://hl7.org/fhir/sid/icd-10-cm"",\n    ""code"": ""A37"",\n    ""display"": ""WHOOPING COUGH""\n  }\n]",,IF = 9 then eob.diagnosis[N].diagnosisCodeableConcept.coding[N].system = 'http://hl7.org/fhir/sid/icd-9-cm'.  IF = 0  eob.diagnosis[N].diagnosisCodeableConcept.coding[N].system = 'http://hl7.org/fhir/sid/icd-10-cm',,ADMTG_DGNS_VRSN_CD,,CLAIM,admtg_dgns_vrsn_cd,diagnosisAdmittingCodeVersion,X,X,,X,X,X
4,Attending Physician NPI,"On an institutional claim, the national provider identifier (NPI) is a unique number assigned to identify the physician who has overall responsibility for the beneficiary's care and treatment.",Inpatient;Outpatient;HHA;Hospice;SNF,CHAR,10,ExplanationOfBenefit,careTeam[N].provider.identifier[N].value,careTeam.where(role.coding.where(code = 'attending')).provider.identifier.where(type.coding.where(code='npi')).value,careTeam[N].provider.identifier[N].type.coding[N].system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType';careTeam[N].provider.identifier[N].type.coding[N].code = 'npi';careTeam[N].role.coding[N].code = 'attending',"[\n  {\n    ""type"": {\n      ""coding"": [\n        {\n          ""system"": ""http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType"",\n          ""code"": ""npi"",\n          ""display"": ""National Provider Identifier""\n        }\n      ]\n    },\n    ""value"": ""161999999""\n  }\n]",eob.careTeam[N].role.coding[N].display = 'Attending';eob.careTeam[N].role.coding[N].system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBClaimCareTeamRole');eob.careTeam[N].provider.identifier[N].type.coding[N].display = 'National Provider Identifier',,,AT_PHYSN_NPI,CCLF1.ATNDG_PRVDR_NPI_NUM,CLAIM,at_physn_npi,attendingPhysicianNpi,X,X,,X,X,X
5,Attending Physician UPIN,"On an institutional claim, the unique physician identification number (UPIN) of the physician who would normally be expected to certify and recertify the medical necessity of the services rendered and/or who has primary responsibility for the beneficiary's medical care and treatment (attending physician).",Inpatient;Outpatient;HHA;Hospice;SNF,CHAR,6,ExplanationOfBenefit,careTeam[N].provider.identifier[N].value,careTeam.where(role.coding.where(code = 'attending')).provider.identifier.where(type.coding.where(code='upin')).value,careTeam[N].provider.identifier[N].type.coding[N].system = 'http://terminology.hl7.org/CodeSystem/v2-0203';careTeam[N].provider.identifier[N].type.coding[N].code = 'UPIN';careTeam[N].role.coding[N].code = 'attending',"[\n  {\n    ""type"": {\n      ""coding"": [\n        {\n          ""system"": ""http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType"",\n          ""code"": ""npi"",\n          ""display"": ""National Provider Identifier""\n        }\n      ]\n    },\n    ""value"": ""161999999""\n  }\n]",eob.careTeam[N].role.coding[N].display = 'Attending';eob.careTeam[N].role.coding[N].system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBClaimCareTeamRole');eob.careTeam[N].provider.identifier[N].type.coding[N].display = 'Medicare/CMS (formerly HCFA)'s Universal Physician Identification numbers',,,AT_PHYSN_UPIN,,CLAIM,at_physn_upin,attendingPhysicianUpin,X,X,,X,X,
6,Hospice Period Count,The count of the number of hospice period trailers present for the beneficiary's record.,Hospice,NUM,1,ExplanationOfBenefit,extension[N].valueQuantity.value,extension.where(url='https://bluebutton.cms.gov/resources/variables/bene_hospc_prd_cnt').valueQuantity.value,extension[N].url = 'https://bluebutton.cms.gov/resources/variables/bene_hospc_prd_cnt',"[\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/bene_hospc_prd_cnt"",\n    ""valueQuantity"": {\n      ""value"": 2\n    }\n  }\n]",,,,BENE_HOSPC_PRD_CNT,,CLAIM,bene_hospc_prd_cnt,hospicePeriodCount,,X,,X,X,
7,Beneficiary Id,"The unique CCW identifier for a beneficiary. The CCW assigns a unique beneficiary identification number to each individual who receives Medicare and/or Medicaid and uses that number to identify an individual’s records in all CCW data files. This number does not change during a beneficiary’s lifetime, and CCW uses each number only once. The BENE_ID is specific to the CCW and is not applicable to any other identification system or data source.",PDE;Carrier;Inpatient;Outpatient;HHA;DME;Hospice;SNF,CHAR,15,ExplanationOfBenefit,patient,"patient.reference.substring(8,50)",,"[\n  ""Patient/567834""\n]",,Patient/+beneficiaryId,This field provides a reference to the Patient endpoint FHIR Resource so that this beneficiaries patient data can be pulled down using the reference id (beneficiaryId). The value will look something like this: 'Patient/123456'.,BENE_ID,,CLAIM,bene_id,beneficiaryId,X,X,X,X,X,X
8,Lifetime Reserved Days Used Count,The number of lifetime reserve days that the beneficiary has elected to use during the period covered by the institutional claim.,Inpatient,NUM,3,ExplanationOfBenefit,benefitBalance[N].financial[N].usedUnsignedInt,benefitBalance[%n].financial.where(type.coding.code='https://bluebutton.cms.gov/resources/variables/bene_lrd_used_cnt').usedUnsignedInt,benefitBalance[N].financial[N].type.coding[N].system = 'https://bluebutton.cms.gov/resources/codesystem/benefit-balance';benefitBalance[N].financial[N].type.coding[N].code = 'https://bluebutton.cms.gov/resources/variables/bene_lrd_used_cnt',"[\n  {\n    ""type"": {\n      ""coding"": [\n        {\n          ""system"": ""https://bluebutton.cms.gov/resources/codesystem/benefit-balance"",\n          ""code"": ""https://bluebutton.cms.gov/resources/variables/bene_lrd_used_cnt"",\n          ""display"": ""Beneficiary Medicare Lifetime Reserve Days (LRD) Used Count""\n        }\n      ]\n    },\n    ""usedUnsignedInt"": 0\n  }\n]",eob.benefitBalance[N].financial[N].type.coding[N].code = 'Beneficiary Medicare Lifetime Reserve Days (LRD) Used Count',,,BENE_LRD_USED_CNT,,CLAIM,bene_lrd_used_cnt,lifetimeReservedDaysUsedCount,,X,,X,X,X
9,Total Coinsurance Days Count,The count of the total number of coinsurance days involved with the beneficiary's stay in a facility.,Inpatient;SNF,NUM,3,ExplanationOfBenefit,benefitBalance[N].financial[N].usedUnsignedInt,benefitBalance[%n].financial.where(type.coding.code='https://bluebutton.cms.gov/resources/variables/bene_tot_coinsrnc_days_cnt').usedUnsignedInt,benefitBalance[N].financial[N].type.coding[N].system = 'https://bluebutton.cms.gov/resources/codesystem/benefit-balance';benefitBalance[N].financial[N].type.coding[N].code = 'https://bluebutton.cms.gov/resources/variables/bene_tot_coinsrnc_days_cnt',"[\n  {\n    ""type"": {\n      ""coding"": [\n        {\n          ""system"": ""https://bluebutton.cms.gov/resources/codesystem/benefit-balance"",\n          ""code"": ""https://bluebutton.cms.gov/resources/variables/bene_tot_coinsrnc_days_cnt"",\n          ""display"": ""Beneficiary Total Coinsurance Days Count""\n        }\n      ]\n    },\n    ""usedUnsignedInt"": 0\n  }\n]",eob.benefitBalance[N].financial[N].type.coding[N].display = 'Beneficiary Total Coinsurance Days Count',,,BENE_TOT_COINSRNC_DAYS_CNT,,CLAIM,bene_tot_coinsrnc_days_cnt,coinsuranceDayCount,,X,,X,X,X
10,BETOS Code,The Berenson-Eggers type of service (BETOS) for the procedure code based on generally agreed upon clinically meaningful groupings of procedures and services.,Carrier;DME,CHAR,3,ExplanationOfBenefit,item[N].extension[N].valueCoding.code,item[%n].extension.where(url = 'https://bluebutton.cms.gov/resources/variables/betos_cd').valueCoding.code,item[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/betos_cd',"[\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/betos_cd"",\n    ""valueCoding"": {\n      ""system"": ""https://bluebutton.cms.gov/resources/variables/betos_cd"",\n      ""code"": ""T2D"",\n      ""display"": ""Other tests - other""\n    }\n  }\n]",eob.item[N].extension[N].valueCoding.display = {corresponding description from valueset specified in .system},,,BETOS_CD,CCLF5.HCPCS_BETOS_CD,CLAIM LINE,betos_cd,betosCode,,X,,X,X,X
